term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_bp_control at countryCHARLS=0,5.703410465426989e-6,0.002527632106820077,0.0748379066339787,3776,0.0025339058583320464,0.0024759213099177294,15343.03795556347,1468144.6062562743,3755.0287071447833,-0.023822678504730577,0.17349849177268797,0.050337916706316384,"1.08 	(0.98, 1.19)",0.9764588415493142,1.189458892793867,WA2 CHARLS
h_bp_control at countryCHARLS=1,1.2701013322775133e-5,0.004612958589040892,0.02369829690570906,3776,0.0046269297036959445,0.003019521702240832,10414.913520071374,987111.4708494436,3748.3183173482917,-0.10962163225453843,0.15701822606595656,0.0680215385278512,"1.02 	(0.90, 1.17)",0.896173154171467,1.1700169385124728,WA2 CHARLS
Interaction of h_bp_control:countryCHARLS,9.24386976406844e-6,0.007190154694271746,-0.051139609728269635,3776,0.007200322951012221,0.0014121945376138765,46283.20636844786,4512876.563471307,3765.527397443827,-0.21745184303911874,0.11517262358257946,0.0848547167281361,"0.95 	(0.80, 1.12)",0.804566349457128,1.1220671161001925,WA2 CHARLS
w_bp_control at countryCHARLS=0,6.90403335053293e-6,0.003874190806188275,0.06229737479068939,4478,0.0038817852428738612,0.001956428862088135,24348.672745343774,2351334.3437913526,4458.773243229979,-0.05981623425063885,0.18441098383201765,0.062303974535127864,"1.06 	(0.94, 1.20)",0.9419376135520825,1.202509933694202,HA2 CHARLS
w_bp_control at countryCHARLS=1,3.7288291980336955e-5,0.009315696312892092,0.052791164240254894,4478,0.009356713434070463,0.004383710313176378,5060.213692453433,468337.37258120073,4414.37564999827,-0.13679684998570937,0.24237917846621918,0.09673010614111029,"1.05 	(0.87, 1.27)",0.8721473848903021,1.2742772797267947,HA2 CHARLS
Interaction of w_bp_control:countryCHARLS,5.7602712406648506e-5,0.01312622651154165,-0.009506210550434496,4478,0.013189589495188964,0.004804014838401578,4244.2315642604935,389972.36216658325,4404.191244315957,-0.23460081160297186,0.21558839050210288,0.11484593808746117,"0.99 	(0.79, 1.24)",0.7908864993365948,1.2405916345944477,HA2 CHARLS
h_bp_control at countryLASI=0,5.703410465426989e-6,0.002527632106820077,0.0748379066339787,3776,0.0025339058583320464,0.0024759213099177294,15343.03795556347,1468144.6062562743,3755.0287071447833,-0.023822678504730577,0.17349849177268797,0.050337916706316384,"1.08 	(0.98, 1.19)",0.9764588415493142,1.189458892793867,WA2 LASI
h_bp_control at countryLASI=1,1.1302782366286874e-6,0.0016682497025864486,0.09810416565784069,3776,0.0016694930086467402,7.447207348890648e-4,164459.09665124927,16227649.458579253,3770.3148159772854,0.018021148726385758,0.1781871825892956,0.04085942986198829,"1.10 	(1.02, 1.20)",1.0181845094676953,1.1950489926652312,WA2 LASI
Interaction of h_bp_control:countryLASI,1.0070028111019807e-5,0.004235009059524626,0.02326625902386199,3776,0.004246086090446748,0.0026087626784214186,13852.594480707805,1322432.0435896076,3753.472270789289,-0.10444902871968743,0.1509815467674114,0.06516199882175767,"1.02 	(0.90, 1.16)",0.9008207122217388,1.1629751972320006,WA2 LASI
w_bp_control at countryLASI=0,6.90403335053293e-6,0.003874190806188275,0.06229737479068939,4478,0.0038817852428738612,0.001956428862088135,24348.672745343774,2351334.3437913526,4458.773243229979,-0.05981623425063885,0.18441098383201765,0.062303974535127864,"1.06 	(0.94, 1.20)",0.9419376135520825,1.202509933694202,HA2 LASI
w_bp_control at countryLASI=1,2.970902086137041e-6,0.002217182557130381,0.13305463173247614,4478,0.002220450549425132,0.0014717699052549577,42657.20618732546,4154920.06514147,4464.6111490470985,0.0406978544034686,0.22541140906148366,0.047121656904497024,"1.14 	(1.04, 1.25)",1.041537362071124,1.2528380391021965,HA2 LASI
Interaction of w_bp_control:countryLASI,2.5735833580854087e-6,0.006001061196881114,0.07075725694178676,4478,0.006003892138575008,4.71517746913731e-4,408248.520817318,40480551.708097704,4473.396427329645,-0.08111013848405947,0.22262465236763296,0.07748478649757647,"1.07 	(0.92, 1.25)",0.9220921280225465,1.249351544572748,HA2 LASI
