iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,0.0016335414150573286,0.03697762337316807,0.7289869551280068,3778,0.038774518929731126,0.0463421753811949,84.15465723292326,4190.729956305916,1936.7777109137992,0.3429341162812204,1.1150397939747934,0.19691246514563554,"2.07 	(1.41, 3.05)",1.4090759237063242,3.049689536036556,WA1
countryCHARLS,Conditional,7.890350185721243e-5,0.00409968354062777,-0.25435490453155046,3778,0.004186477392670703,0.020731952881170294,294.8232142974023,20939.296338686887,3142.7350154448295,-0.38117777265823183,-0.1275320364048691,0.06470299369171957,"0.78 	(0.68, 0.88)",0.6830564500650528,0.8802652148496793,WA1
countryLASI,Conditional,1.0915178887301658e-4,0.005279212121516161,-0.36339448358521875,3778,0.005399279089276479,0.022237592422066778,262.1377645270522,18199.815161695835,3069.3758076415907,-0.5074217980012437,-0.2193671691691938,0.07347978694359748,"0.70 	(0.60, 0.80)",0.6020457752148402,0.8030268173283353,WA1
h_bp_control,Conditional,5.359647706005843e-6,0.0015822113141545425,0.05159571528134611,3778,0.001588106926631149,0.003712352347151328,6974.136362451548,653046.5370425534,3740.4363298065005,-0.02651107043928551,0.12970250100197772,0.03985105929120516,"1.05 	(0.97, 1.14)",0.9738372629695671,1.1384896334130414,WA1
hh_high,Conditional,1.026917561564522e-5,0.0030702701052082518,0.004809409615243396,3778,0.0030815661983854617,0.0036656986902076465,7146.975585416229,669775.0735635044,3741.145701321656,-0.10399202621538553,0.1136108454458723,0.05551185637668283,"1.00 	(0.90, 1.12)",0.9012324836262661,1.1203160639437597,WA1
hh_highest,Conditional,3.04080202658244e-5,0.004432373106467595,9.116177101208568e-5,3778,0.004465821928760002,0.007489958808477251,1827.8724348839767,160429.2860879049,3662.169133892758,-0.13088795832047115,0.13107028186249534,0.06682680546577101,"1.00 	(0.88, 1.14)",0.8773160648500101,1.14004790318637,WA1
hh_lengthmar,Conditional,1.5627629204857415e-7,2.4603523336154893e-6,-0.0038120301520647693,3778,2.632256254868921e-6,0.06530668164828501,53.1982152684233,2110.2177676057863,1320.622358223079,-0.006993745646898552,-6.303146572309865e-4,0.0016224229580688633,"1.00 	(0.99, 1.00)",0.9930306536781617,0.9993698839493221,WA1
hh_low,Conditional,1.646745532682498e-5,0.002320571336273981,0.02461353603553417,3778,0.0023386855371334884,0.0077454623855543825,1716.6400541502417,150019.5336283252,3655.4592042673416,-0.07017100465166412,0.11939807672273245,0.04835995799350418,"1.02 	(0.93, 1.13)",0.9322343898575899,1.1268183891910009,WA1
hh_medium,Conditional,5.3672038196195915e-6,0.0030271228571789196,-0.01847586865833809,3778,0.003033026781380501,0.0019465453578666864,24592.259342748024,2375272.5699694436,3762.6814884204755,-0.12641686808380265,0.08946513076712646,0.05507292239731337,"0.98 	(0.88, 1.09)",0.8812474062840151,1.0935892000310317,WA1
hh_size,Conditional,4.773148925917004e-7,1.1206431298985717e-4,0.005482660625984824,3778,1.1258935937170804e-4,0.004663374805406402,4493.167477632949,413848.9573464946,3724.567803383357,-0.015314212157056622,0.026279533409026265,0.010610813322818758,"1.01 	(0.98, 1.03)",0.9848024540801809,1.0266278851599189,WA1
