iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,0,8.96095847092617e-4,-1.070095025309533,6512,8.96095847092617e-4,0,Inf,Inf,6509.30284160407,-1.1287662729185732,-1.0114237777004926,0.02993486006469075,"0.34 (0.32, 0.36)",0.32343203724166936,0.36370078169714065,W0
h_htn,Conditional,0,0.0014222862514585515,0.3441161063285514,6512,0.0014222862514585515,0,Inf,Inf,6509.30284160407,0.2701995718709793,0.4180326407861234,0.037713210569488134,"1.41 (1.31, 1.52)",1.3102259088785744,1.5189702539762653,W0
(Intercept),Conditional,0,6.217031985679123e-4,-0.9909151538874553,6512,6.217031985679123e-4,0,Inf,Inf,6509.30284160407,-1.0397848503873566,-0.9420454573875541,0.024933976790073264,"0.37 (0.35, 0.39)",0.3535307357778721,0.3898296393831274,H0
w_htn,Conditional,0,0.0012055760711242424,0.32660291321704077,6512,0.0012055760711242424,0,Inf,Inf,6509.30284160407,0.2585502069340575,0.39465561950002404,0.034721406525719006,"1.39 (1.30, 1.48)",1.2950511687692885,1.48387308596343,H0
(Intercept),Conditional,0.0018361727824040925,0.02295815170177522,-1.3817603202249455,6492,0.02497794176241972,0.08086295019245157,41.08785502237,1376.3958211229117,1118.3503737098422,-1.691793721084307,-1.071726919365584,0.1580441133431414,"0.25 (0.18, 0.34)",0.1841888440947513,0.34241668054178187,W1
h_htn,Conditional,5.042385652677642e-6,0.001358330688292522,0.22931087622056595,6492,0.0013638773125104675,0.004066805838815387,5847.350017985422,544171.2994742262,6387.734535938165,0.1569278544589996,0.3016938979821323,0.03693070961287459,"1.26 (1.17, 1.35)",1.1699112069792088,1.352147268348674,W1
hh_children,Conditional,3.044666274844887e-6,1.9914058261038072e-4,0.02174314227866329,6492,2.024897155127101e-4,0.01653976792771559,434.22650068418386,32899.074914281075,5345.57726986272,-0.006147952032646405,0.049634236589972985,0.014229888106120515,"1.02 (0.99, 1.05)",0.9938709079545591,1.0508866501874112,W1
hh_high,Conditional,9.546778387243592e-6,0.003937898593535229,-0.00356870878773181,6492,0.003948400049761197,0.0026596738156264305,13339.276710801174,1272288.9463431216,6439.976412027185,-0.12672570232685412,0.11958828475139047,0.06283629564002956,"1.00 (0.88, 1.13)",0.8809752889300956,1.1270327394803912,W1
hh_highest,Conditional,1.712457010556195e-5,0.005423772994902105,-0.03622965768289658,6492,0.005442610022018223,0.0034610282639969524,7988.68472095125,751332.5732075338,6412.340836396459,-0.18082436588213147,0.1083650505163383,0.0737740470763142,"0.96 (0.83, 1.11)",0.8345819268847429,1.114454503330228,W1
hh_lengthmar,Conditional,8.908847278757268e-7,6.87230787524385e-6,0.008122197214439936,6492,7.85228107590715e-6,0.1248010853394071,26.049032168937988,577.83758261323635,524.4814449582984,0.0026184735160187473,0.013625920912861123,0.0028021921911080883,"1.01 (1.00, 1.01)",1.0026219047119742,1.013719176857874,W1
hh_low,Conditional,1.2136702629249793e-5,0.0026904191978120474,0.1041075281215737,6492,0.002703769570704222,0.004937688861073151,4026.8123848432697,369143.3668526723,6346.919535536801,0.002193409483366132,0.20602164675978127,0.0519977842864888,"1.11 (1.00, 1.23)",1.0021958167656773,1.2287798028086374,W1
hh_medium,Conditional,1.0347738257116373e-5,0.0029515078133236566,-0.07580141776841626,6492,0.0029628903254064845,0.003841692007707516,6527.119622651935,609814.0430298711,6397.246620250569,-0.18248724792832355,0.03088441239149102,0.05443243817253168,"0.93 (0.83, 1.03)",0.8331952688263742,1.03136628383423,W1
hh_size,Conditional,2.472038853137225e-6,2.4704721696185833e-4,-0.030749667944519426,6492,2.497664597003093e-4,0.010887141298770551,915.391822838039,75930.24313776799,5918.940498772033,-0.0617254352345198,2.2609934548094984e-4,0.0158040013825711,"0.97 (0.94, 1.00)",0.9401409809456387,1.0002261249078646,W1
residence,Conditional,4.671958020704093e-4,0.0042637289396424,-0.12497572820280695,6492,0.00477764432191985,0.10756668928233198,30.128764165943988,777.8339690593999,685.7409969676737,-0.26066055965925206,0.010709103253638136,0.06912050579907421,"0.88 (0.77, 1.01)",0.7705424284137119,1.010766650944481,W1
w_bmi,Conditional,2.947414618302687e-10,1.4750103180161692e-7,5.340694402657214e-4,6492,1.4782524740963023e-7,0.0021932356866948438,19455.843472187196,1870991.8764650912,6453.430588513242,-2.194989609422362e-4,0.0012876378414736788,3.8448049028478703e-4,"1.00 (1.00, 1.00)",0.9997805251271922,1.0012884672030133,W1
w_education_2,Conditional,2.3203316612671683e-5,0.006511370436333099,-0.09568651503698714,6492,0.006536894084607038,0.003904552826401377,6325.558899204412,590336.8634814066,6394.634020092321,-0.25415200784959646,0.06277897777562219,0.08085106112233183,"0.91 (0.78, 1.06)",0.7755738997649605,1.0647914706420791,W1
w_education_3,Conditional,1.1772961542947192e-4,0.13270637851873357,0.11049370013016559,6492,0.132835881095706,9.749065983091928e-4,96361.68546867737,9469269.782214422,6479.237400904781,-0.6038477431509703,0.8248351434113014,0.3644665706147904,"1.12 (0.55, 2.28)",0.5467040072875341,2.2815046132569403,W1
w_ge65,Conditional,1.8968584774507098e-4,0.0025885290676145385,0.22506695906854043,6492,0.002797183500134117,0.07459447423080172,45.181864177478765,1617.4437830487152,1274.2701840607963,0.12132996048644738,0.32880395765063347,0.05288840610317271,"1.25 (1.13, 1.39)",1.128997375438114,1.3893054661809756,W1
w_heavydrinker,Conditional,1.5441160249627663e-4,0.014965109993399839,0.2448262951656156,6492,0.015134962756145743,0.011222542498621839,866.2373469961267,71459.50310927612,5888.381451644111,0.0036991383264163846,0.48595345200481477,0.123024236458292,"1.28 (1.00, 1.63)",1.0037059885826727,1.6257243202422418,W1
w_hukou,Conditional,5.883707532575892e-4,0.005752098324276376,0.07137593289116054,6492,0.0063993061528597244,0.10113718786436302,32.106592602751505,879.8745614830378,764.5576901615746,-0.0856286581926872,0.22838052397500827,0.07999566333783178,"1.07 (0.92, 1.26)",0.9179350355938919,1.2565633869644959,W1
w_laborforceother,Conditional,3.9225498379004365e-4,0.007809918890821661,0.09046985595632001,6492,0.00824139937299071,0.05235524486085774,71.06633206108847,3283.3873396146605,2140.5967438760454,-0.0875255096552367,0.26846522156787667,0.09078215338375,"1.09 (0.92, 1.31)",0.9161954995214492,1.307955487598409,W1
w_laborforceretired,Conditional,1.9867919320992007e-4,0.001725173292506867,0.2724071576647167,6492,0.001943720405037779,0.11243752546121176,28.817016895008635,711.9015710752204,633.5966377032358,0.18584980291049852,0.3589645124189348,0.044087644584824205,"1.31 (1.20, 1.43)",1.2042413732442907,1.431845987919468,W1
w_moderate_pa,Conditional,2.4708185395304626e-5,3.473082019843408e-5,-0.006587823240560148,6492,6.190982413326918e-5,0.43900954840912887,11.447100767306777,46.69760174681585,46.10623888734793,-0.022419466366122805,0.009243819885002509,0.007868279617125282,"0.99 (0.98, 1.01)",0.9778299822242646,1.0092866759374615,W1
w_smokeformer,Conditional,1.0699430613448389e-4,0.010374882956224848,0.12979680306997982,6492,0.01049257669297278,0.011216857421376354,867.0350542912208,71531.95758222949,5888.904033866111,-0.07097213216398782,0.3305657383039474,0.10243327922590773,"1.14 (0.93, 1.39)",0.9314878503165511,1.3917552750521156,W1
w_smokenever,Conditional,6.872177608875418e-5,0.006418233599682486,0.13159149109421114,6492,0.006493827553380115,0.011640893306179966,810.6102587653293,66415.56811516875,5849.503318935397,-0.026353690499249738,0.289536672687672,0.08058428850204061,"1.14 (0.97, 1.34)",0.973990537480468,1.3358084280940856,W1
w_vigorous_pa,Conditional,4.856801012758787e-5,6.435328226103025e-5,-0.009769176115178628,6492,1.177780934013769e-4,0.45360567145776265,11.298790745061606,43.740682740958505,43.20772107017028,-0.0316447398536729,0.012106387623315642,0.010852561605509407,"0.99 (0.97, 1.01)",0.9688507149940012,1.0121799665591993,W1
(Intercept),Conditional,0.002367852591578537,0.015398261459277094,-0.9264320789327858,6492,0.018002899310013483,0.14467879900253913,22.786863825241092,429.9646187489139,399.05514319764814,-1.1901523623248758,-0.6627117955406958,0.13417488330538427,"0.40 (0.30, 0.52)",0.3041749157385934,0.5154516380506668,H1
h_bmi,Conditional,1.1399759726894544e-8,1.3050833511846058e-6,0.0025695728794615093,6492,1.3176230868841897e-6,0.0095169368421108725,1171.1964676844173,99368.36295090315,6037.654270924418,3.197466332699843e-4,0.004819399125653033,0.0011478776445615576,"1.00 (1.00, 1.00)",1.0003197977576734,1.0048310311085014,H1
h_education_2,Conditional,5.8382990510605256e-5,0.003296696273452838,-0.041304294741324105,6492,0.0033609175630145037,0.019108260871493636,338.56058607587374,24649.050007564678,5059.338062478872,-0.15493569205075505,0.07232710256810683,0.05797342117741978,"0.96 (0.86, 1.08)",0.8564702535582754,1.0750069240849156,H1
h_education_3,Conditional,2.007838017232679e-4,0.008771522141686814,0.04922447130175424,6492,0.008992384323582408,0.024561025635479856,222.44152372029765,14919.336610737553,4444.641527718385,-0.13665043193184379,0.23509937453535223,0.0948281831713674,"1.05 (0.87, 1.27)",0.8722750923621932,1.2650344746999302,H1
h_ge65,Conditional,4.114873834842218e-4,0.0021330589695614183,0.17000873572533112,6492,0.0025856950913940623,0.17505394326622165,19.481254856458296,293.69646087013064,278.4231315010936,0.0699326983243014,0.2700847731263608,0.050849730494802646,"1.19 (1.07, 1.31)",1.0724360020853343,1.3100755052223092,H1
h_heavydrinker,Conditional,1.4027773217217206e-5,0.0034808706332731774,0.09245445505574473,6492,0.0034963011838121164,0.0044133928193550425,4994.943553976325,462058.9015126428,6372.249479687522,-0.023437595522296795,0.20834650563378626,0.05912952886512894,"1.10 (0.98, 1.23)",0.9768349316405414,1.2316398657705614,H1
h_hukou,Conditional,4.337628806174024e-4,0.0046253704573734344,-0.03615666864765461,6492,0.005102509626052577,0.09351068467229309,34.906703584473846,1029.2480094107286,875.9934372058665,-0.17632535873434263,0.10401202143903339,0.0714318530212718,"0.96 (0.84, 1.11)",0.8383451760339445,1.10961379398998,H1
h_laborforceother,Conditional,7.045195166486319e-4,0.07416750417182723,-0.2897376837142408,6492,0.07494247564014073,0.010340884280828381,1005.5912384714278,84164.15219514954,5967.486816907242,-0.8262977591172028,0.24682239168872122,0.2737562339749375,"0.75 (0.44, 1.28)",0.4376666378814394,1.2799517625181607,H1
