iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,0.0016533295102307223,0.00956003155324615,-1.1045260507671015,13005,0.011378694014499945,0.15983050945356833,20.948822114405843,352.3085166945132,341.30196087002935,-1.3143179947858772,-0.8947341067483258,0.10667096143984053,"0.33 	 (0.27, 0.41)",0.26865748657962085,0.4087162590893097,G1
bmi,Conditional,3.0988118985610097e-10,1.4472897710306172e-7,7.658885467502527e-4,13005,1.4506984641190343e-7,0.0023496909748829905,16997.996268034785,1630125.3902886775,12870.0284559078,1.937621016437894e-5,0.0015124008833361264,3.8088035708330173e-4,"1.00 	 (1.00, 1.00)",1.0000193763978844,1.0015135451383368,G1
education_2,Conditional,1.852475505329575e-5,0.0022772314150738223,-0.05426460770085463,13005,0.0022976086456324477,0.008868886612766125,1334.1572542071804,114420.6220107576,11583.032420387803,-0.1482132943932894,0.03968407899158015,0.04793337715655395,"0.95 	 (0.86, 1.04)",0.8622471828371706,1.0404820121371856,G1
education_3,Conditional,3.571707466350509e-5,0.013695178225369278,0.07780830939813252,13005,0.013734467007499133,0.002860597510511591,11571.992242165477,1099838.6990178039,12814.733481514608,-0.1518882416394264,0.3075048604356914,0.1171941423770793,"1.08 	 (0.86, 1.36)",0.8590842852276831,1.360027418811704,G1
ge65,Conditional,1.3679230491193834e-4,0.001168339554376925,0.1923783853530429,13005,0.0013188110897800571,0.11409635282049901,28.402041926485584,691.3516207187181,652.2085063764054,0.1210766075602169,0.2636801631458689,0.03631543872487371,"1.21 	 (1.13, 1.30)",1.1287113768801558,1.3017117943088152,G1
heavydrinker,Conditional,8.28040545857833e-6,0.0032776648735269942,0.09430500308698767,13005,0.0032867733195314306,0.002771242528442662,12310.943166422981,1171907.7842042989,12825.058836487213,-0.018060607491364927,0.20667061366534023,0.057330387400849045,"1.10 	 (0.98, 1.23)",0.982101507845847,1.2295774990461126,G1
hh_children,Conditional,1.9374592103353634e-6,9.662199761414577e-5,0.013543075923715208,13005,9.875320274551468e-5,0.02158112417742014,275.59442071849065,19323.88223427132,7671.59002212518,-0.0059352168317712475,0.03302136867920166,0.009937464603484868,"1.01 	 (0.99, 1.03)",0.9940823617728446,1.033572625087189,G1
hh_high,Conditional,1.3113810063358751e-5,0.0016869290726779938,-0.013912231965604045,13005,0.0017013542637476884,0.00847865219905423,1450.3135346906847,125195.54307082253,11689.00774030759,-0.09475658066525341,0.06693211673404531,0.04124747584698594,"0.99 	 (0.91, 1.07)",0.9095943203666872,1.0692228933689458,G1
hh_highest,Conditional,1.7549161443760322e-5,0.0031159769402997026,-0.053002074202515057,13005,0.003135281017887839,0.006157048595644238,2644.49399526792,237409.09184690693,12255.816831767159,-0.1627480341691827,0.05674388576415257,0.0559935801488692,"0.95 	 (0.85, 1.06)",0.8498052833354038,1.0583847082896314,G1
hh_lengthmar,Conditional,7.137692904368615e-7,2.691911147170181e-6,0.004946590765578517,13005,3.4770573666507287e-6,0.2258076691546907,16.229330037168456,176.50830062130467,173.46679209650193,0.0012666403403057405,0.008626541190851293,0.0018646869352925517,"1.00 	 (1.00, 1.01)",1.0012674428679837,1.008663857022314,G1
hh_low,Conditional,1.1404444561185109e-5,0.0013357990757962251,0.048234627962357404,13005,0.0013483439648135287,0.00930392343843697,1221.11538118971,103970.52897337382,11461.88583750704,-0.02373570213995381,0.1202049580646686,0.03671980344192393,"1.05 	 (0.98, 1.13)",0.9765437740832142,1.127727964835449,G1
hh_medium,Conditional,1.320707709697102e-5,0.0013884047719843787,-0.054836262648459366,13005,0.0014029325567910468,0.010355298076407742,1003.0318072657298,83930.01492809331,11157.635213394326,-0.12824922531949234,0.01857670002257361,0.03745574130612084,"0.95 	 (0.88, 1.02)",0.879634124728131,1.0187503203456192,G1
hh_size,Conditional,6.472718031950562e-7,1.122636874015034e-4,-0.024966904032116117,13005,1.1297568638501796e-4,0.006302231978375323,2530.3096154742134,226596.78272254366,12224.012173756208,-0.04579947668523212,-0.004134331379000114,0.010629002134961587,"0.98 	 (0.96, 1.00)",0.9552334895729265,0.9958742032033273,G1
hukou,Conditional,2.413374305236871e-4,0.0025998375191661673,0.026510884350685725,13005,0.002865308692742223,0.09265011279534721,35.259707457531825,1048.4569543254452,962.8894861869376,-0.07852445420509985,0.13154622290647128,0.05352857828059907,"1.03 	 (0.92, 1.14)",0.924479452244992,1.1405906279178377,G1
husband,Conditional,3.755758322420872e-5,0.0013521227682260124,0.06404515777340306,13005,0.001393436109772642,0.029648536633208412,164.31505085987294,10238.491735036652,5652.088154720819,-0.009126511937218293,0.1372168274840244,0.03732875714208339,"1.07 	 (0.99, 1.15)",0.9909150082653037,1.1470768393429787,G1
laborforceother,Conditional,2.625165657829258e-4,0.010146725141479922,-0.026676224135938176,13005,0.01043549336384114,0.027671736475996127,183.36915787270638,11753.56688724671,6091.078044087263,-0.22691551997199952,0.17356307170012314,0.10215426258282687,"0.97 	 (0.80, 1.19)",0.7969881090239839,1.1895357104432631,G1
laborforceretired,Conditional,1.0595393763309074e-4,9.021058859397865e-4,0.20645901765994268,13005,0.0010186552173361864,0.11441489663320999,28.32406924047359,687.5073797831376,648.7730298867067,0.14379374570280717,0.2691242896170782,0.03191637851223391,"1.23 	 (1.15, 1.31)",1.154645933277949,1.308817803401246,G1
moderate_pa,Conditional,3.132038211130455e-5,1.8037272380856314e-5,-0.004193810987686917,13005,5.2489692703291325e-5,0.6563654414436055,9.967043344353385,20.8906087710221,20.79339315116339,-0.01926537096827182,0.010877748992897986,0.007244977067133568,"1.00 	 (0.98, 1.01)",0.9809190202705278,1.0109371268081588,G1
partner_htn,Conditional,1.8434888957782846e-6,6.668216939744319e-4,0.22215149824771319,13005,6.68849531759788e-4,0.0030318295656434654,10332.753645804058,979113.2818518198,12794.181084092115,0.17146260118032233,0.27284039531510407,0.025862125430052882,"1.25 	 (1.19, 1.31)",1.1870397480166517,1.31369055692421,G1
residence,Conditional,1.7688129139766147e-4,0.002307439273608743,-0.12134602233183195,13005,0.0025020086941461707,0.0777652855454309,43.004248605182916,1488.2331270376903,1323.9282775269266,-0.21946338005868518,-0.02322866460497873,0.05002008290822968,"0.89 	 (0.80, 0.98)",0.8029495611204586,0.9770390439808241,G1
smokeformer,Conditional,7.2290042878639666e-6,0.0014034345935460288,0.11917215649402907,13005,0.001411386498262679,0.005634108535428544,3130.0791781658036,283525.4781230942,12365.816254256413,0.045539083731686955,0.19280522925637117,0.03756842421851999,"1.13 	 (1.05, 1.21)",1.0465919085319435,1.2126465824397417,G1
smokenever,Conditional,4.653712513910021e-6,0.0015580771434364482,0.046312019790995015,13005,0.0015631962272017492,0.0032747544270015335,8894.361524340055,839237.7941626641,12763.313913093281,-0.031179729811233514,0.12380376939322355,0.03953727642619999,"1.05 	 (0.97, 1.13)",0.9693013450717337,1.1317937566314598,G1
vigorous_pa,Conditional,1.3898419206311511e-5,2.6605213827142174e-5,-0.013495707224375916,13005,4.189347495408484e-5,0.36493179770115913,12.404987065588472,67.58014144476783,67.03156831551874,-0.026412866692876135,-5.78547755875701e-4,0.006472516894847385,"0.99 	 (0.97, 1.00)",0.9739329021331689,0.9994216195706068,G1
(Intercept),Conditional,0.0017020431177298008,0.010048564209713881,-1.1259970470188896,13004,0.011920811639216662,0.15705704327577227,21.253335597726274,364.8611939294189,353.1061411771323,-1.34070296315334,-0.9112911308844391,0.10918246946839343,"0.32 	 (0.26, 0.40)",0.26166166540475583,0.40200484793965985,G2
bmi,Conditional,3.120131030212847e-10,1.4486414175029297e-7,7.723048905440873e-4,13004,1.4520735616361638e-7,0.002363615882770339,16802.427190015183,1610974.6635733899,12867.660712808556,2.5438826677838186e-5,0.0015191709544103362,3.810608300043661e-4,"1.00 	 (1.00, 1.00)",1.0000254391502474,1.001520325479171,G2
education_2,Conditional,1.8457253979125237e-5,0.0022808533445710074,-0.054719845823082425,13004,0.002301156323948045,0.00882294660547197,1347.054853756068,115615.27259216683,11594.842505267503,-0.1487410261347734,0.03930133448860855,0.0479703692288067,"0.95 	 (0.86, 1.04)",0.8617922676769251,1.040083849568727,G2
education_3,Conditional,3.527229098948883e-5,0.013837950779763283,0.07751188612905681,13004,0.013876750299851722,0.002796009097955182,12099.073423354394,1151238.6167034747,12821.249412475441,-0.15337136777124172,0.3083951400293553,0.11779961926870444,"1.08 	 (0.86, 1.36)",0.8578110992559045,1.3612387626068172,G2
ge65,Conditional,1.3530936195266466e-4,0.0011677099314981144,0.1920761250895967,13004,0.0013165502296460456,0.11305326207564965,28.661209475380467,704.1680452892151,663.6447936066738,0.12083776425453198,0.26331448592466145,0.03628429728747748,"1.21 	 (1.13, 1.30)",1.1284418239154796,1.3012358749787918,G2
heavydrinker,Conditional,8.00502830124811e-6,0.003234365268680071,0.09596981976120342,13004,0.003243170799811444,0.002715099411935033,12812.698663284133,1220874.5427721257,12830.428956176169,-0.015647973526904932,0.20758761304931175,0.05694884370916976,"1.10 	 (0.98, 1.23)",0.9844738199098233,1.2307055379817413,G2
hh_children,Conditional,1.9177367068317692e-6,9.629815837424667e-5,0.013700346199122398,13004,9.840766875176162e-5,0.021436442954830017,278.7183223033577,19585.60828504971,7712.838069130377,-0.0057438234879268295,0.03314451588617162,0.00992006394897541,"1.01 	 (0.99, 1.03)",0.994272640728603,1.0336999145066765,G2
hh_high,Conditional,1.2980393628603902e-5,0.0016889852889100322,-0.013992708051206035,13004,0.0017032637219014965,0.00838298427182144,1481.232107328541,128069.35042689517,11713.75689835755,-0.09488239295850819,0.06689697685609612,0.041270615719922285,"0.99 	 (0.91, 1.07)",0.9094798894178713,1.0691853216671088,G2
hh_highest,Conditional,1.7304373019111204e-5,0.0031081262227081958,-0.05281285691838033,13004,0.003127161033029218,0.006086930004555502,2702.5368134380387,242910.27968668626,12270.087934619973,-0.16241659795604932,0.05679088411928864,0.05592102496404387,"0.95 	 (0.85, 1.06)",0.8500869862611099,1.0584344517989446,G2
hh_lengthmar,Conditional,7.088563857192761e-7,2.699905860386615e-6,0.004981430764016298,13004,3.479647884677819e-6,0.22408647372761403,16.311654157778005,179.2302144460264,176.10160721967577,0.0013004956284226963,0.0086623658996099,0.0018653814314176654,"1.00 	 (1.00, 1.01)",1.0013013416395673,1.0086999927584996,G2
hh_low,Conditional,1.1076783904319011e-5,0.0013300428879254298,0.04889805069263378,13004,0.0013422273502201806,0.00907779318664022,1277.8965912148556,109214.91217955085,11524.444152789933,-0.022908810957617598,0.12070491234288513,0.03663642108913179,"1.05 	 (0.98, 1.13)",0.9773516034666366,1.1282919182198399,G2
