term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_htn at w_ge65=0,8.31724613767435e-5,0.008941322407444576,0.17650044341359428,-24,0.009041129361096668,0.011039213096712715,1431.4468749491562,32823.41453299698,-26.016144992709744,-0.009869317268206862,0.3628702040953954,0.09508485347886207,"1.19 	(0.99, 1.44)",0.9901792246204458,1.4374492721037524,W2
h_htn at w_ge65=1,1.567445820707664e-6,0.002572096289551372,0.07682892972546156,-24,0.002573977224536221,7.307504382398346e-4,301381.78266209597,7490689.96674506,-26.266598093715082,-0.022608642192107745,0.17626650164303082,0.050734379118465824,"1.08 	(0.98, 1.19)",0.9776450179256432,1.1927558877016133,W2
Interaction of h_htn:w_ge65,7.600834446781093e-5,0.011423524382662196,-0.09967151368813272,-24,0.011514734396023569,0.007921156513420843,2714.1679082664136,63750.383577778775,-26.088172562177792,-0.30999283379280096,0.11064980641653548,0.10730673043208226,"0.91 	(0.73, 1.12)",0.73345221227598,1.1170036708360518,W2
w_htn at h_ge65=0,1.8627700272109813e-4,0.01985759038380852,0.2748422383112456,-24,0.02008112278707384,0.011131469372280564,1408.8131570689059,32281.596137205583,-26.014062164481807,-0.0029105136270679566,0.5525949902495592,0.14170787835217152,"1.32 	(1.00, 1.74)",0.9970937178115034,1.7377566334407615,H2
w_htn at h_ge65=1,1.6276264624453655e-5,0.0021355063628011144,0.04333843320744273,-24,0.0021550378803504586,0.009063189899088045,2091.651003852847,48696.50939944221,-26.061421969729025,-0.047650032092733614,0.13432689850761906,0.04642238555212839,"1.04 	(0.95, 1.14)",0.9534674116898617,1.143766654150653,H2
Interaction of w_htn:h_ge65,2.60463027353867e-4,0.02172833587146146,-0.2315038051038029,-24,0.0220408915042861,0.014180716454407502,888.4762967487947,19891.321857413186,-25.946765579286424,-0.5225011969556848,0.05949358674807895,0.14846175098080347,"0.79 	(0.59, 1.06)",0.593035393092208,1.0612989545801517,H2
h_htn at w_education_2=0,2.48193877540354e-4,0.005558689175932667,0.1358827042982711,-25,0.005856521828981092,0.050854869450771126,89.5960715646305,1546.6601777303115,-26.32638957879106,-0.014226722669534675,0.28599213126607687,0.0765279153576072,"1.15 	(0.99, 1.33)",0.9858739989375591,1.3310819812811427,W3 E2
h_htn at w_education_2=1,2.5246652508070555e-4,0.004790297163530322,0.06384387905565696,-25,0.005093256993627168,0.0594825335685827,69.3000161250792,1130.5273532214255,-26.245969801901538,-0.07618289730298634,0.20387065541430022,0.07136705818251982,"1.07 	(0.93, 1.23)",0.9266467098755542,1.2261395486871627,W3 E2
Interaction of h_htn:w_education_2,9.394749239451343e-4,0.010320223455366592,-0.07203882524261412,-25,0.011447593364100752,0.09848095340891068,32.05483671870431,412.43498982797837,-26.145521147203233,-0.28235927942518146,0.1382816289399532,0.10699342673314446,"0.93 	(0.75, 1.15)",0.7540027381929175,1.1482988989415286,W3 E2
w_htn at h_education_2=0,2.4799703799264746e-4,0.014003681493932364,0.02736865851472246,-25,0.014301277939523542,0.020809080618503912,433.5713985949425,9237.494776702311,-26.782634355932558,-0.20705013294554553,0.2617874499749904,0.11958795064521986,"1.03 	(0.81, 1.30)",0.8129788919393998,1.2992503573828968,H3 E2
w_htn at h_education_2=1,3.237087709130859e-4,0.004613155640407083,0.09799238038131221,-25,0.005001606165502786,0.07766515640014492,45.56674912520568,663.1435487159632,-26.14638002381361,-0.04087370947695994,0.23685847023958434,0.07072203451190291,"1.10 	(0.96, 1.27)",0.9599503549252709,1.2672617498307945,H3 E2
Interaction of w_htn:h_education_2,7.425951747928365e-4,0.018398025135188418,0.07062372186658974,-25,0.01928913934493982,0.04619771747282093,105.23551801076972,1874.2130357818276,-26.378910683858017,-0.2017624591003546,0.34300990283353405,0.1388853460410414,"1.07 	(0.82, 1.41)",0.8172890444609092,1.4091827167592177,H3 E2
h_htn at w_education_3=0,2.48193877540354e-4,0.005558689175932667,0.1358827042982711,-25,0.005856521828981092,0.050854869450771126,89.5960715646305,1546.6601777303115,-26.32638957879106,-0.014226722669534675,0.28599213126607687,0.0765279153576072,"1.15 	(0.99, 1.33)",0.9858739989375591,1.3310819812811427,W3 E3
h_htn at w_education_3=1,0.0025548800108355866,0.02848913648166612,0.24872727137973125,-25,0.031554992494668824,0.09715914251986199,32.683595938117925,423.73334826048114,-26.14203290552606,-0.10043264100425767,0.5978871837637201,0.17763724973852985,"1.28 	(0.90, 1.82)",0.9044460329374565,1.8182730623041596,W3 E3
Interaction of h_htn:w_education_3,0.0024601649314775265,0.03450230559673185,0.11284456708146016,-25,0.03745450351450488,0.07882090645333861,44.55289812120943,643.8387941269503,-26.143192921395695,-0.2671849180418484,0.49287405220476876,0.1935316602380729,"1.12 	(0.77, 1.64)",0.7655314977904693,1.6370143300591382,W3 E3
w_htn at h_education_3=0,2.4799703799264746e-4,0.014003681493932364,0.02736865851472246,-25,0.014301277939523542,0.020809080618503912,433.5713985949425,9237.494776702311,-26.782634355932558,-0.20705013294554553,0.2617874499749904,0.11958795064521986,"1.03 	(0.81, 1.30)",0.8129788919393998,1.2992503573828968,H3 E3
w_htn at h_education_3=1,0.002347600151670812,0.011478884176096434,0.16580233742641065,-25,0.014296004358101409,0.19705647196508716,13.175992293469161,103.0098097848116,-27.810610799363644,-0.07132815588978683,0.4029328307426081,0.1195658996457661,"1.18 	(0.93, 1.50)",0.9311562775689297,1.4962063892162143,H3 E3
Interaction of w_htn:h_education_3,0.0026359473400724798,0.025000431297007502,0.13843367891168817,-25,0.028163568105094478,0.1123130704278482,26.640806482328955,317.1022991763848,-26.210741303708115,-0.19174776987026365,0.46861512769363994,0.16782004679147983,"1.15 	(0.83, 1.60)",0.825515062005429,1.5977799391522916,H3 E3
h_htn at hh_low=0,1.2516486202373813e-4,0.012217887773953967,0.14293036241685847,-27,0.012368085608382453,0.012143984055761173,1192.8817097747906,27122.993171423477,-28.925603619865335,-0.075050674007547,0.36091139884126394,0.11121189508493438,"1.15 	(0.93, 1.43)",0.9276964750392602,1.4346363448048087,W5 Low
h_htn at hh_low=1,2.9215248814194255e-5,0.0076648865642573935,-0.151269397354829,-27,0.0076999448628344265,0.0045530583921776025,8001.845538098864,192953.89562233843,-29.121217445844305,-0.3232560020753386,0.020717207365680584,0.08774932970020013,"0.86 	(0.72, 1.02)",0.7237885392802418,1.0209332983938906,W5 Low
Interaction of h_htn:hh_low,1.841245602894669e-4,0.020378991503773806,-0.2941997597716875,-27,0.020599940976121167,0.010725733272900065,1512.7033717893316,34770.105292803244,-28.960373616672417,-0.5755169022083846,-0.012882617334990465,0.14352679532450088,"0.75 	(0.56, 0.99)",0.5624140805786139,0.9872000083872742,W5 Low
w_htn at hh_low=0,1.2013767973100086e-4,0.01779847876654918,0.20168265853975118,-27,0.01794264398222638,0.008034781040074592,2640.2701871711015,61960.06991905876,-29.028576306733584,-0.060859949335460545,0.46422526641496287,0.13395015484211423,"1.22 	(0.94, 1.59)",0.9409550119231275,1.590781279676868,H5 Low
w_htn at hh_low=1,6.246167031520327e-5,0.012478763412863053,-0.16244119192487436,-27,0.012553717417241298,0.005970662066624342,4705.170509074611,112205.72309073714,-29.08289425251999,-0.38204453643544584,0.05716215258569707,0.11204337292870693,"0.85 	(0.68, 1.06)",0.6824646579853633,1.058827488091134,H5 Low
Interaction of w_htn:hh_low,2.559381563677517e-4,0.029770311264718158,-0.36412385046462553,-27,0.03007743705235946,0.010211168827538421,1662.4206269061149,38362.692254348454,-28.973188621601125,-0.7040481464378432,-0.024199554491407926,0.1734284782045886,"0.69 	(0.49, 0.98)",0.4945791171710875,0.9760909069971592,H5 Low
h_htn at hh_medium=0,1.2516486202373813e-4,0.012217887773953967,0.14293036241685847,-27,0.012368085608382453,0.012143984055761173,1192.8817097747906,27122.993171423477,-28.925603619865335,-0.075050674007547,0.36091139884126394,0.11121189508493438,"1.15 	(0.93, 1.43)",0.9276964750392602,1.4346363448048087,W5 Medium
h_htn at hh_medium=1,5.5651926716909665e-5,0.013689276352596369,0.2550109259976008,-27,0.013756058664656661,0.00485475627054971,7054.89555842877,169716.91490585875,-29.112991522583748,0.02513250894736091,0.4848893430478406,0.1172862253832762,"1.29 	(1.03, 1.62)",1.0254509929537203,1.6239952925315904,W5 Medium
Interaction of h_htn:hh_medium,1.6596128919990505e-4,0.026135275849373005,0.11208056358074231,-27,0.02633442939641289,0.007562478155194564,2969.4559627586914,69940.9818875478,-29.040850833140773,-0.2059856677694698,0.43014679493095437,0.1622788630611297,"1.12 	(0.81, 1.54)",0.8138447404097694,1.5374832017241107,W5 Medium
w_htn at hh_medium=0,1.2013767973100086e-4,0.01779847876654918,0.20168265853975118,-27,0.01794264398222638,0.008034781040074592,2640.2701871711015,61960.06991905876,-29.028576306733584,-0.060859949335460545,0.46422526641496287,0.13395015484211423,"1.22 	(0.94, 1.59)",0.9409550119231275,1.590781279676868,H5 Medium
w_htn at hh_medium=1,2.8079546009361527e-5,0.01334531883309902,0.1555354955132919,-27,0.013379014288310254,0.0025185304750496317,25735.466869986365,630616.8497169241,-29.17768292817603,-0.07116944430655947,0.3822404353331432,0.11566768904197168,"1.17 	(0.93, 1.47)",0.9313040745842137,1.4655644162435009,H5 Medium
Interaction of w_htn:hh_medium,6.826166084921261e-5,0.030930914892549052,-0.04614716302645925,-27,0.031012828885568108,0.0026412938117094504,23421.52726941488,573358.9070703057,-29.174226552915492,-0.39130655818510524,0.29901223213218664,0.17610459643509624,"0.95 	(0.68, 1.35)",0.6761728379453655,1.3485261187217659,H5 Medium
h_htn at hh_high=0,1.2516486202373813e-4,0.012217887773953967,0.14293036241685847,-27,0.012368085608382453,0.012143984055761173,1192.8817097747906,27122.993171423477,-28.925603619865335,-0.075050674007547,0.36091139884126394,0.11121189508493438,"1.15 	(0.93, 1.43)",0.9276964750392602,1.4346363448048087,W5 High
h_htn at hh_high=1,1.6163378194956524e-4,0.00978900759439151,-0.001771562395057108,-27,0.00998296813273099,0.019429145296331572,492.29080036532775,10596.259833855858,-28.759543129503864,-0.19762335174202975,0.1940802269519155,0.09991480437217995,"1.00 	(0.82, 1.21)",0.8206789022116507,1.2141936901076338,W5 High
Interaction of h_htn:hh_high,2.1651394932499022e-4,0.021801055342449367,-0.14470192481191557,-27,0.022060872081639357,0.011777265115744288,1264.7797821441056,28838.395151873017,-28.934516855781943,-0.43582568847259723,0.14642183884876603,0.14852902774084048,"0.87 	(0.65, 1.16)",0.6467304486830449,1.157684441333421,W5 High
w_htn at hh_high=0,1.2013767973100086e-4,0.01779847876654918,0.20168265853975118,-27,0.01794264398222638,0.008034781040074592,2640.2701871711015,61960.06991905876,-29.028576306733584,-0.060859949335460545,0.46422526641496287,0.13395015484211423,"1.22 	(0.94, 1.59)",0.9409550119231275,1.590781279676868,H5 High
w_htn at hh_high=1,7.672776623388241e-5,0.010772994880583907,-0.016848194583605747,-27,0.010865068200064566,0.008474251406918158,2381.616603973051,55700.27034465498,-29.017236899281848,-0.22115073017911108,0.18745434101189953,0.10423563785992085,"0.98 	(0.80, 1.21)",0.8015958464982571,1.206175175425697,H5 High
Interaction of w_htn:hh_high,2.85028274340278e-4,0.027973902961910005,-0.2185308531233569,-27,0.02831593689111834,0.012079202271269962,1205.1152274332537,27414.69911892348,-28.927174253436853,-0.5483552169897821,0.11129351074306809,0.1682733992380208,"0.80 	(0.58, 1.12)",0.5778995484687734,1.117722922399558,H5 High
h_htn at hh_highest=0,1.2516486202373813e-4,0.012217887773953967,0.14293036241685847,-27,0.012368085608382453,0.012143984055761173,1192.8817097747906,27122.993171423477,-28.925603619865335,-0.075050674007547,0.36091139884126394,0.11121189508493438,"1.15 	(0.93, 1.43)",0.9276964750392602,1.4346363448048087,W5 Highest
h_htn at hh_highest=1,2.2296473353653323e-5,0.025762483182339865,0.5244966622447329,-27,0.025789238950364248,0.0010374779990941177,149885.389274898,3716226.7043095133,-29.219883516318387,0.20974538905042833,0.8392479354390374,0.16059028286407695,"1.69 	(1.23, 2.31)",1.2333639919986992,2.3146255741733426,W5 Highest
Interaction of h_htn:hh_highest,1.8349748598730972e-4,0.038317634578744014,0.38156629982787443,-27,0.03853783156192878,0.005713787576006287,5127.433947595469,122521.36047181292,-29.089776748100082,-0.0031991065863652968,0.7663317062421142,0.1963105487790424,"1.46 	(1.00, 2.15)",0.9968060051027112,2.1518581102822996,W5 Highest
w_htn at hh_highest=0,1.2013767973100086e-4,0.01779847876654918,0.20168265853975118,-27,0.01794264398222638,0.008034781040074592,2640.2701871711015,61960.06991905876,-29.028576306733584,-0.060859949335460545,0.46422526641496287,0.13395015484211423,"1.22 	(0.94, 1.59)",0.9409550119231275,1.590781279676868,H5 Highest
w_htn at hh_highest=1,1.1149060699038576e-4,0.011884638251116101,0.3579732440049877,-27,0.012018426979504565,0.011131966655587909,1408.6926571129309,32278.712057360404,-28.95033186195206,0.14309710550447222,0.5728493825055032,0.10962858650691691,"1.43 	(1.15, 1.77)",1.1538418406201374,1.7733127057208784,H5 Highest
Interaction of w_htn:hh_highest,5.644592410712583e-5,0.029095077115857362,0.15629058546523653,-27,0.029162812224785912,0.0023226535358267645,30212.286031578486,741465.8053927417,-29.183210955294335,-0.1784154168785773,0.4909965878090503,0.17077122774280776,"1.17 	(0.84, 1.63)",0.8365948156857267,1.633943777267884,H5 Highest
h_htn at hh_lengthmar_ge10=0,0.031037496210620883,0.20568132645915121,-0.017349910457460305,-25,0.24292632191189628,0.15331807257285587,17.715304825849675,170.1661956155672,-26.71675295926109,-0.9902876971243465,0.955587876209426,0.49287556432825547,"0.98 	(0.37, 2.60)",0.37146980485272346,2.6001987286676096,W6
h_htn at hh_lengthmar_ge10=1,5.680813569682176e-5,0.002455747271559578,0.11663900485248319,-25,0.002523917034395764,0.027009510180870996,269.27492115671987,5483.1051532434685,-26.665153277051154,0.018151415680575683,0.2151265940243907,0.050238601039397625,"1.12 	(1.02, 1.24)",1.0183171539019527,1.2400188660087492,W6
Interaction of h_htn:hh_lengthmar_ge10,0.03264129393209621,0.20850470561722803,0.1339889153099435,-25,0.24767425833574347,0.15814947012142777,17.050729202073864,159.92800105563026,-26.808193843945652,-0.8488613932167999,1.1168392238366867,0.497668823953986,"1.14 	(0.43, 3.06)",0.4279018666504555,3.055182178787823,W6
w_htn at hh_lengthmar_ge10=0,0.0625602761989399,0.47002793568161677,0.04696792972691819,-25,0.5451002671203447,0.13772205953102892,20.28962265014363,210.88853703643878,-26.468201831359693,-1.4084434837992106,1.5023793432530463,0.738309059351397,"1.05 	(0.24, 4.49)",0.24452359203066112,4.4923652430929035,H6
w_htn at hh_lengthmar_ge10=1,2.0542190732643103e-5,0.002752280668653595,0.0991581801160656,-25,0.0027769312975327665,0.008876931489472996,2177.2130738780947,50761.47757691484,-27.045030695874036,-0.004127714172126595,0.20244407440425777,0.05269659664089102,"1.10 	(1.00, 1.22)",0.9958807931307534,1.224391608377011,H6
Interaction of w_htn:hh_lengthmar_ge10,0.06262005303785943,0.47298380323448297,0.05219025038914741,-25,0.5481278668799143,0.13709221549557546,20.410011560755468,212.83076272176632,-26.459633464699845,-1.4071805347232689,1.5115610355015634,0.7403565808986331,"1.05 	(0.24, 4.53)",0.24483260796988524,4.533802700102109,H6
