iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,0.018561856762959246,0.18848532375562166,-2.422506142299727,-17,0.20890336619487682,0.09773917391167394,33.28590311690691,942.1177393687875,-17.861990404840913,-3.319478597171019,-1.5255336874284349,0.45705947774318917,"0.09 	(0.04, 0.22)",0.03617168685792374,0.2175049462291705,W1
h_htn,Conditional,9.89592102965088e-6,0.0027431557856891706,0.08620907216752578,-17,0.0027540412988217864,0.003952559875290516,6177.988057587524,576083.7093778356,-19.352428922656856,-0.016648016531970053,0.1890661608670216,0.0524789605348828,"1.09 	(0.98, 1.21)",0.9834897958677418,1.2081208801637289,W1
hh_consumptionquintileHigh,Conditional,7.47127991621947e-4,0.005448781639530757,0.12903968860911208,-17,0.006270622430314899,0.13106207556222937,24.890037943103952,523.9482892754462,-17.444298080487346,-0.026523842852036628,0.28460322007026073,0.07918726179326381,"1.14 	(0.97, 1.33)",0.9738248247975249,1.3292345098986282,W1
hh_consumptionquintileHighest,Conditional,0.0011774268511076606,0.006726874031014211,0.10733419968364816,-17,0.008022043567232637,0.16145132164437012,20.77668775761105,345.2703622328555,-17.09861183007705,-0.06882917540852676,0.28349757477582305,0.0895658616172068,"1.11 	(0.93, 1.33)",0.933486128845535,1.3277656601805772,W1
hh_consumptionquintileLow,Conditional,9.78519613464635e-4,0.0033317953903819605,0.044570901704083274,-17,0.004408166965193059,0.244176680082706,15.434043755584266,150.95035552208088,-16.267037334232963,-0.08661069603431261,0.17575249944247912,0.06639402808380479,"1.05 	(0.92, 1.19)",0.9170340311354324,1.1921429660856377,W1
hh_consumptionquintileMedium,Conditional,9.0144650228989e-4,0.0018308562577675764,0.13065669387690437,-17,0.0028224474102864555,0.3513231633315856,12.630309419335026,72.91702486706289,-15.236278793843342,0.02477328187997703,0.23654010587383173,0.05312671089279342,"1.14 	(1.03, 1.27)",1.0250826893570466,1.2668583630629604,W1
hh_high,Conditional,5.527198743020124e-5,0.009858450733115535,-0.18457520338659028,-17,0.009919249919288756,0.00612941368227779,2667.1360464618188,239554.6704962978,-19.311042258219285,-0.37977964787891016,0.010629241105729548,0.09959543121694266,"0.83 	(0.68, 1.01)",0.6840121161280918,1.0106859321719326,W1
hh_highest,Conditional,5.8017267767513386e-5,0.0035325869693853414,-0.2310230914123717,-17,0.0035964059639296063,0.017745214301261202,384.3939256862054,28581.170613353064,-19.09655814354457,-0.3485671921081206,-0.11347899071662283,0.059970042220508786,"0.79 	(0.71, 0.89)",0.705698496061208,0.8927229516836361,W1
hh_lengthmar,Conditional,6.964744585757621e-7,4.228565816995664e-6,-8.969847134824592e-4,-17,4.994687721429002e-6,0.1533873481511968,21.67677865972918,382.52817727555873,-17.18752739714515,-0.005291171582147127,0.003497202155182209,0.0022348798002194666,"1.00 	(0.99, 1.00)",0.994722802009788,1.0035033245015865,W1
hh_low,Conditional,7.204005839483398e-5,0.005876887777657579,-0.07395368754300895,-17,0.005956131841891896,0.013304618893249083,637.4897919738221,50843.756691512404,-19.177312285667945,-0.2252194291829453,0.07731205409692736,0.0771759796950573,"0.93 	(0.80, 1.08)",0.7983410202204652,1.0803791605389017,W1
hh_medium,Conditional,4.197908754566079e-5,0.005947783628711012,-0.09003081232146921,-17,0.0059939606250112385,0.007703920527529373,1733.9905098713527,151641.79668192723,-19.281346581567718,-0.24177375445037935,0.06171212980744091,0.07742067311132886,"0.91 	(0.79, 1.06)",0.7852338131120725,1.063656105763631,W1
hh_size,Conditional,0.004060562668711581,0.006496735509566351,0.16281917040512703,-17,0.01096335444514909,0.40741353004043995,11.80851898706541,54.22151077141299,-14.616752381749851,-0.04708415789315909,0.3727224987034131,0.1047060382458867,"1.18 	(0.95, 1.45)",0.9540071069836918,1.451681440450854,W1
w_age,Conditional,7.528181050638387e-7,1.9788356489568707e-5,0.016132242541312954,-17,2.061645640513893e-5,0.040166937484164715,103.40508954874187,5578.341127133612,-18.710734498417263,0.007231026492786032,0.025033458589839873,0.0045405348148801735,"1.02 	(1.01, 1.03)",1.0072572334946148,1.025349426696418,W1
