iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,0.0237626100314557,0.09447156929379176,-1.9761041761498845,1984,0.12061044032839303,0.21672146261493988,16.68122302332889,191.61904148680622,170.5661836679041,-2.6611066643594956,-1.2911016879402735,0.34729013854181495,"0.14 	 (0.07, 0.27)",0.06987085535784783,0.2749676875767045,G1
bmi,Conditional,2.2000478651615036e-7,8.802564469782874e-6,0.02174231141314504,1984,9.04456973495064e-6,0.026756968242789066,193.54465083956,12570.967484301429,1672.3538302365764,0.015847310676053265,0.027637312150236813,0.0030074191152798507,"1.02 	 (1.02, 1.03)",1.0159735452485015,1.0280227654326175,G1
education_2,Conditional,1.2041427927871841e-4,0.0014544189381532067,-0.0415644613461847,1984,0.001586874645359797,0.08346954662985254,39.61601188624371,1291.773586931595,754.9342598574364,-0.11971401656099162,0.03658509386862219,0.03983559520529092,"0.96 	 (0.89, 1.04)",0.8871741175463057,1.0372625649468927,G1
education_3,Conditional,1.438315319898854e-4,0.003440083371762805,-0.04720272413872871,1984,0.003598298056951679,0.04396931068097971,90.68639983725988,4655.251998310554,1346.7001205963563,-0.1648033380359987,0.07039788975854125,0.059985815464588615,"0.95 	 (0.85, 1.07)",0.848060468926639,1.0729350061844924,G1
ge65,Conditional,6.925014666614993e-6,0.013756670093799118,0.23432130876070106,1984,0.013764287609932395,5.534261088659355e-4,296782.83649579855,29384832.644953143,1980.7725985019415,0.004375775197650061,0.46426684232375204,0.11732130075110996,"1.26 	 (1.00, 1.59)",1.0043853628813555,1.590847419229152,G1
heavydrinker,Conditional,9.143773377463196e-5,0.00212582826583135,0.05344916767210112,1984,0.0022264097729834454,0.04517654762955581,87.24706383464593,4409.774998703024,1324.1860938273003,-0.03905682307404222,0.14595515841824444,0.04718484685768775,"1.05 	 (0.96, 1.16)",0.9616960610672614,1.1571442987067313,G1
hh_high,Conditional,1.1864803745030045e-5,0.0029089841271861534,-0.16160728610790573,1984,0.0029220354113056865,0.004466504433531555,4881.344402036649,451135.4661309175,1964.5579237252527,-0.2675550984331237,-0.055659473782687804,0.05405585455161806,"0.85 	 (0.77, 0.95)",0.7652481654863508,0.9458611715833479,G1
hh_highest,Conditional,3.279674609798583e-5,0.0034905082843743247,-0.18453928984024942,1984,0.003526584705082109,0.010229846643353049,1025.6616539111108,86001.15086930385,1917.9774486689491,-0.30093349610829623,-0.06814508357220261,0.0593850545598984,"0.83 	 (0.74, 0.93)",0.740126992435391,0.9341249375626016,G1
hh_lengthmar,Conditional,2.562590059612013e-7,2.401413863700501e-6,0.0035126171234478947,1984,2.683298770257822e-6,0.10505162886883329,30.866232284918915,815.5243410746189,558.6687541445899,2.9727174776127477e-4,0.006727962499134515,0.0016380777668529116,"1.00 	 (1.00, 1.01)",1.000297315937386,1.006750646081726,G1
hh_low,Conditional,8.896388092764543e-6,0.0023533145693771422,-0.10152795794609659,1984,0.002363100596279183,0.004141180835657007,5646.486297939281,524800.3528463667,1966.3994793552163,-0.19680542381586286,-0.006250492076330341,0.04861173311330489,"0.90 	 (0.82, 0.99)",0.8213504329986394,0.9937690016130709,G1
hh_medium,Conditional,1.3691608538283678e-5,0.002635563984395241,-0.14231845798715936,1984,0.002650624753787353,0.005681969645304346,3080.093771438585,278769.13718433515,1956.907103738449,-0.243226110127297,-0.04141080584702174,0.05148421849253763,"0.87 	 (0.78, 0.96)",0.7840942020864814,0.9594349075090601,G1
hh_size,Conditional,0.0038914188991155943,0.006323031253601427,0.3046665404365004,1984,0.01060359204262858,0.4036896904198536,11.855247917705073,55.226458311672765,52.761076373500934,0.09832156359739572,0.511011517275605,0.10297374443336796,"1.36 	 (1.10, 1.67)",1.1033175148205052,1.6669765179814724,G1
husband,Conditional,5.9880460425296065e-6,0.001156816828026711,0.04083189765816067,1984,0.0011634036786734936,0.005661706910100936,3101.103658087224,280768.0867089196,1957.044513986257,-0.026020221650288514,0.10768401696660986,0.034108703855079185,"1.04 	 (0.97, 1.11)",0.9743153871445123,1.1136957808108845,G1
laborforceFormal,Conditional,2.3488913001374762e-5,0.007586714266942124,0.017155187456143015,1984,0.007612552071243637,0.0033941054274182723,8297.12086680506,781253.2787931814,1970.294313509651,-0.15385181799470243,0.18816219290698843,0.08724994023633276,"1.02 	 (0.86, 1.21)",0.8573990627110308,1.2070292710603756,G1
laborforceRetired,Conditional,1.7253936167993694e-5,0.004453307986504342,-0.03831449899221959,1984,0.004472287316289135,0.0042437635246881005,5386.381129933265,499735.4496735951,1965.8282743943575,-0.16938772578149086,0.09275872779705166,0.06687516217766604,"0.96 	 (0.84, 1.10)",0.8441815289813427,1.0971969801978663,G1
moderate_pa,Conditional,4.962960436380901e-6,0.0012646964388629812,-0.07157375186336448,1984,0.0012701556953430002,0.00429810022506315,5256.000502528501,487179.9794268738,1965.5221722073352,-0.14142555959900355,-0.0017219441277254444,0.035639243753803194,"0.93 	 (0.87, 1.00)",0.8681197963654179,0.9982795375674766,G1
partner_htn,Conditional,4.273460612864307e-6,0.0014152908170634755,0.06872825078853328,1984,0.0014199916237376262,0.003310446762902393,8709.034781094144,821238.484993498,1970.7012960953753,-0.005128742295056873,0.14258524387212343,0.03768277622120783,"1.07 	 (0.99, 1.15)",0.9948843872481032,1.1532513843809642,G1
raceWhite,Conditional,2.7325178917862785e-5,0.01832396608185344,0.04437464469875901,1984,0.01835402377866309,0.0016376625187002167,34554.32096705807,3355781.6167609766,1977.5910688938343,-0.2211555370136638,0.3099048264111818,0.1354770230654006,"1.05 	 (0.80, 1.36)",0.8015919933689055,1.3632953582457457,G1
religionNone,Conditional,4.2711346733912e-6,0.0024816741079243627,0.044830049714346246,1984,0.002486372356065093,0.0018895995723527586,26070.557243269195,2520594.2747803237,1976.7064335135183,-0.052900734543335534,0.142560833972028,0.04986353734007539,"1.05 	 (0.95, 1.15)",0.9484741585299766,1.1532232339734623,G1
religionOther,Conditional,2.864968230552888e-5,0.0027568807595931446,0.2584370567681428,1984,0.0027883954101292265,0.011302073738036041,855.1999166454078,70457.33894249167,1906.5754419470973,0.15493887237603488,0.3619352411602508,0.05280525930368325,"1.29 	 (1.17, 1.44)",1.1675865871298416,1.4361059383946555,G1
smokeCurrent,Conditional,1.1824881787569151e-5,0.007068028881915015,-0.04064075579573038,1984,0.007081036251881341,0.0018369302886805832,27561.292910626187,2667209.682524959,1976.8958857905384,-0.20556963094269737,0.12428811935123663,0.08414889334911863,"0.96 	 (0.81, 1.13)",0.8141834002356497,1.132342073667911,G1
smokeFormer,Conditional,5.4173775090180965e-6,0.0013691750495974505,0.06910094271551369,1984,0.0013751341648573705,0.004333479170403703,5173.7003898900375,479257.68173038133,1965.3215500504414,-0.0035801961674969685,0.14178208159852435,0.03708280146991824,"1.07 	 (1.00, 1.15)",0.9964262050932668,1.1523255082412174,G1
vigorous_pa,Conditional,2.6952166652071193e-6,0.0028234279109048284,-0.04423700242270691,1984,0.002826392649236556,0.0010489477930565112,83348.20257796907,8179650.778420946,1979.4448677377156,-0.1484362067688692,0.059962201923455374,0.05316382839145951,"0.96 	 (0.86, 1.06)",0.8620549986902156,1.061796411924806,G1
(Intercept),Conditional,0.023937079119434466,0.09674007803826688,-1.9997030844550923,1983,0.12307086506964479,0.21394817543922795,16.828116488706428,196.61893307664334,174.57581191928614,-2.6915454370362717,-1.3078607318739128,0.3508145736277853,"0.14 	 (0.07, 0.27)",0.06777611467484726,0.27039789168303724,G2
