iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,0,0.0014596277483736224,-0.7537433091799947,77,0.0014596277483736224,0,Inf,Inf,75.06748623874671,-0.8286238800172937,-0.6788627383426956,0.038205074903389764,"0.47 (0.44, 0.51)",0.436649755521961,0.5071934761902872,W0
h_htn,Conditional,0,0.0014991652785993155,0.22200308829358395,77,0.0014991652785993155,0,Inf,Inf,75.06748623874671,0.14611513349736016,0.29789104308980774,0.038719055755523216,"1.25 (1.16, 1.35)",1.1573294277650883,1.3470150132898158,W0
(Intercept),Conditional,0,6.839922286748421e-4,-0.533709893228967,77,6.839922286748421e-4,0,Inf,Inf,75.06748623874671,-0.5849693116818641,-0.48245047477606995,0.026153245088800015,"0.59 (0.56, 0.62)",0.5571229587164329,0.6172689350395594,H0
w_htn,Conditional,0,8.363380647466146e-4,0.1690461891438637,77,8.363380647466146e-4,0,Inf,Inf,75.06748623874671,0.11236499088638915,0.22572738740133827,0.028919510105577768,"1.18 (1.12, 1.25)",1.118921182157772,1.2532339713356093,H0
(Intercept),Conditional,6.795377191429764e-4,0.027494225281805673,-1.4761574646529934,51,0.028241716772862947,0.026467636407129746,196.96992120599438,12847.309581815533,47.63398622315409,-1.80556577779713,-1.146749151508857,0.1680527202185759,"0.23 (0.16, 0.32)",0.16438142690097277,0.3176677824687229,W1
h_htn,Conditional,5.616555431440782e-6,0.0013312942915192653,0.08232167247033442,51,0.0013374725024938503,0.004619318126589498,4575.7987037885405,421780.7592584479,48.87858625326907,0.010642700449657372,0.15400064449101147,0.0365714711557226,"1.09 (1.01, 1.17)",1.010699535433042,1.1664916385715733,W1
hh_children,Conditional,1.6616065986790279e-6,1.1584451622310828e-4,0.012240744440399711,51,1.1767228348165522e-4,0.015532691339603983,484.6207297598835,37303.457369905605,48.28570122547688,-0.009021018574204755,0.033502507455004174,0.010847685627895714,"1.01 (0.99, 1.03)",0.9910195487360521,1.0340700366071156,W1
hh_high,Conditional,1.5252729671796953e-5,0.003258944359739757,-0.1756135719621726,51,0.0032757223623787334,0.005121924504857291,3754.225395343852,343064.80313923326,48.852610079272196,-0.2877904027048424,-0.06343674121950278,0.057233926672723874,"0.84 (0.75, 0.94)",0.7499187567108364,0.9385334879067522,W1
hh_highest,Conditional,2.5614888823555455e-5,0.005486670376603645,-0.12571824119948039,51,0.005514846754309556,0.0051091859776325925,3772.1423005485635,344777.63500757935,48.85327006534959,-0.27126962543535915,0.019833143036398326,0.07426201420854107,"0.88 (0.76, 1.02)",0.7624109033180184,1.020031126529945,W1
hh_lengthmar,Conditional,1.1485088955502444e-8,1.8205878289509428e-6,0.003699326008251533,51,1.8332214268019954e-6,0.00689147402836746,2137.4025548539335,189503.94785669766,48.760113765644135,0.0010455862736541296,0.006353065742848936,0.0013539650759166557,"1.00 (1.00, 1.01)",1.0010461330895464,1.0063732892694635,W1
hh_low,Conditional,2.595953190232919e-6,0.0024757382780070084,0.02779167677028712,51,0.0024785938265162646,0.0011520840884485567,69220.37835253353,6780694.0992073445,49.05417610189418,-0.06978608461500863,0.12536943815558288,0.04978547806857201,"1.03 (0.93, 1.13)",0.9325932946234918,1.1335671586794813,W1
hh_medium,Conditional,2.202655203781077e-5,0.0032315295410963105,-0.014611843786235064,51,0.003255758748337902,0.007441954123278055,1850.0315126573928,162505.6752288778,48.73101099343559,-0.12644676440408015,0.09722307683160998,0.0570592564649935,"0.99 (0.88, 1.10)",0.8812210606231342,1.1021062005601625,W1
hh_size,Conditional,1.7694653448438998e-6,2.364342396826501e-4,-0.01321044445569225,51,2.383806515619784e-4,0.008165142038896674,1555.6361129576717,134994.17260795587,48.692542123850906,-0.04347173784838906,0.017050848937004554,0.015439580679603264,"0.99 (0.96, 1.02)",0.9574596135773458,1.0171970443986553,W1
residence,Conditional,4.899173061849467e-5,0.0013063133527826565,-0.07376433002648093,51,0.0013602042564630006,0.039619714042418194,105.5137378389401,5733.500254252744,46.780513618977885,-0.14606492087830764,-0.0014637391746542272,0.03688094706570048,"0.93 (0.86, 1.00)",0.8641016031286078,0.9985373315690379,W1
w_bmi,Conditional,6.59150684464382e-7,6.526224194778608e-6,0.02923875541250991,51,7.251289947689428e-6,0.09999127853684259,32.4929830690306,900.1570068764803,42.13163763734418,0.023953815367780826,0.03452369545723899,0.0026928219301857723,"1.03 (1.02, 1.04)",1.0242430125114033,1.0351265558825598,W1
w_education_2,Conditional,4.665442039646306e-5,0.0023317075862332288,-0.07161526218356376,51,0.002383027448669338,0.021535573358488144,276.57151523219454,19405.714237557466,47.934776498768564,-0.16729934578414551,0.024068821417017994,0.04881626213332334,"0.93 (0.85, 1.02)",0.8459463429602906,1.0243608134275102,W1
w_education_3,Conditional,4.577133574580066e-5,0.00429907123485628,-0.20519595955778216,51,0.004349419704176661,0.011575905004530169,818.8697500800286,67163.38884505468,48.50754653265933,-0.3344581694419978,-0.07593374967356659,0.06595013043335593,"0.81 (0.72, 0.93)",0.7157257834106202,0.9268776104696027,W1
w_ge65,Conditional,8.762666324530759e-6,0.0030535382140330315,0.29023883129687417,51,0.0030631771469900155,0.003146710913032041,9611.379342128854,908926.6072761847,48.95393588667044,0.18176256564508297,0.3987150969486653,0.05534597679136231,"1.34 (1.20, 1.49)",1.1993293980690878,1.4899090784912135,W1
w_heavydrinker,Conditional,3.818961583858217e-5,0.0024763935341947656,0.04679227968847803,51,0.002518402111617206,0.016680647315477495,427.86564875226406,32345.71155586,48.21991401558985,-0.051569613676237705,0.14515417305319375,0.050183683719085485,"1.05 (0.95, 1.16)",0.9497375329397729,1.156217814158032,W1
w_laborforceother,Conditional,5.5020439669276516e-5,0.003791971220132227,0.18735098592157773,51,0.0038524937037684314,0.015709950045343955,475.07336864544686,36466.40082831186,48.27558426892948,0.06569500219941975,0.3090069696437357,0.062068459814695186,"1.21 (1.07, 1.36)",1.0679009600468643,1.3620718636259719,W1
w_laborforceretired,Conditional,2.0198854022964122e-5,0.003064268823673095,0.15224884921044826,51,0.003086487563098356,0.007198713414855416,1969.0619500863015,173673.17371147813,48.74388977784127,0.043360006171331955,0.26113769224956457,0.055556165842310934,"1.16 (1.04, 1.30)",1.0443137865928598,1.2984064336286054,W1
w_moderate_pa,Conditional,5.870036827987347e-7,8.358881965771768e-5,-0.014803552115946276,51,8.423452370879628e-5,0.0076655511617878345,1750.2616992683693,153163.66020511492,48.719145589641315,-0.032792119828734506,0.0031850155968419554,0.00917793678932233,"0.99 (0.97, 1.00)",0.9677397125776398,1.0031900931482804,W1
w_raceethnicNHBlack,Conditional,8.179044019343959e-6,0.004323355326247098,0.23699502920019833,51,0.004332352274668376,0.002076689025009407,21656.27867747366,2086890.0768070526,49.007971688456216,0.10798893568227969,0.36600112271811697,0.06582060676314354,"1.27 (1.11, 1.44)",1.1140354192764472,1.4419568615646996,W1
w_raceethnicNHOther,Conditional,2.936838416756263e-5,0.012301996592879599,0.06206847094000332,51,0.012334301815463918,0.0026191367024777016,13745.583055055555,1311976.8638797523,48.98065371128336,-0.1556051377732884,0.279742079653295,0.11105990192442958,"1.06 (0.86, 1.32)",0.8558970850845512,1.3227885942429394,W1
w_raceethnicNHWhite,Conditional,1.337352869952296e-5,0.003601935682640126,-0.035487989804583224,51,0.003616646564209601,0.004067547466499603,5845.293216082892,543972.8822644989,48.90695186447339,-0.15335766644634766,0.0823816868371812,0.060138561374625525,"0.97 (0.86, 1.09)",0.8578228524849904,1.0858701931017924,W1
w_religion2.Catholic,Conditional,3.1552679317520457e-6,0.0020815361813846423,-0.04364569907060352,51,0.0020850069761095694,0.0016646441785069866,33459.248653074246,3247877.770490731,49.02861845899705,-0.13314136605653842,0.0458499679153314,0.04566187661616164,"0.96 (0.88, 1.05)",0.8753413398084561,1.0469173279842958,W1
w_religion3.Jewish,Conditional,1.3320821572976232e-4,0.04885638268159452,-0.07569928921360618,51,0.04900291171889726,0.0029902108295787612,10614.63977693545,1006558.1957765245,48.961876772882405,-0.5095692238468149,0.3581706454196024,0.2213660130166717,"0.93 (0.60, 1.43)",0.6007543137121227,1.430709743714595,W1
w_religion4.None/no pref,Conditional,2.1221720285691672e-5,0.005748390298724005,-0.04412498049297622,51,0.005771734191038266,0.004044519643767856,5909.680299072911,550184.8295896775,48.908132231298055,-0.19302755525941195,0.1047775942734595,0.07597193028374537,"0.96 (0.82, 1.11)",0.8244592556374388,1.110463609423662,W1
w_religion5.Other,Conditional,2.8382980964642162e-5,0.012130210964943522,-0.01639199619137021,51,0.012161432244004629,0.0025672370190195255,14293.911984131159,1365559.337711196,48.98327413185054,-0.23253482855589266,0.1997508361731522,0.11027888394431923,"0.98 (0.79, 1.22)",0.7925221464642224,1.2210984666856126,W1
w_smokeformer,Conditional,3.270379841225638e-5,0.0051200300769096915,-0.0629920207081519,51,0.005156004255163173,0.006977142855818598,2088.2654367581604,184878.87045273578,48.75559483023041,-0.20372878693290258,0.07774474551659881,0.0718053219139304,"0.94 (0.82, 1.08)",0.8156835652320867,1.0808467324815474,W1
w_smokenever,Conditional,4.847560310010906e-5,0.005050054461252712,-0.0432557368304459,51,0.005103377624662832,0.010448602343755211,986.7121176100595,82437.74574055083,48.569336476025164,-0.18327355953418978,0.09676208587329799,0.07143792847404544,"0.96 (0.83, 1.10)",0.8325403752255053,1.101598256654374,W1
w_vigorous_pa,Conditional,3.4458392486034065e-6,1.9769054506048195e-4,-0.026623678321983296,51,2.0148096823394569e-4,0.018812809997332213,347.6949860422118,25429.344820019192,48.09605376402645,-0.05444551374691628,0.0011981571029496853,0.014194399185381032,"0.97 (0.95, 1.00)",0.9470101064844664,1.0011988751799323,W1
(Intercept),Conditional,4.3914264129515674e-4,0.01778414303618925,-1.2335146201887632,51,0.01826719994161392,0.026443949098309043,197.25501155633953,12870.335982733994,47.63545691882522,-1.4984408300746654,-0.9685884103028609,0.13515620570885348,"0.29 (0.22, 0.38)",0.22347832934050135,0.37961852566979454,H1
h_bmi,Conditional,1.58992230394373e-7,6.193820697190181e-6,0.024116448302735655,51,6.368712150623991e-6,0.027461039107674987,185.62886401992418,11934.619467307373,47.572084998362634,0.01916972124922165,0.02906317535624966,0.0025236307476776375,"1.02 (1.02, 1.03)",1.0193546400797435,1.0294896307949437,H1
h_education_2,Conditional,1.3124964532478393e-5,0.001700103434292821,-0.050180505194682715,51,0.0017145408952785473,0.008420598788564153,1468.9528022186303,126927.7433828903,48.67888982598063,-0.13133753729993775,0.03097652691057229,0.041407015049126,"0.95 (0.88, 1.03)",0.8769217306377335,1.0314612920192114,H1
