iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,3.300780775209379e-4,0.012449756151097498,-1.4659241348405305,7899,0.01281284203637053,0.02833765406943879,176.5342941634112,11207.654146128765,4554.809478767526,-1.687803917016902,-1.2440443526641591,0.11319382508056934,"0.23 	 (0.18, 0.29)",0.1849251894541514,0.2882162096171192,G1
bmi,Conditional,2.1647540603539722e-7,3.599233494919474e-6,0.027621047995956542,7899,3.837356441558411e-6,0.062053903583226024,56.76878814427307,2337.2453063720486,1776.6336536163608,0.02377965162675256,0.031462444365160526,0.0019589171604635076,"1.03 	 (1.02, 1.03)",1.0240646420499064,1.0319626188566018,G1
education_2,Conditional,1.2498511172634907e-5,0.0010050083982934494,-0.0567028809060126,7899,0.0010187567605833478,0.01349523539065987,621.5082889684312,49417.59219326395,6729.549982220838,-0.11926248332743125,0.0058567215154060395,0.031917969242784665,"0.94 	 (0.89, 1.01)",0.8875747965974786,1.005873905640025,G1
education_3,Conditional,1.3137062739335206e-5,0.0017228469672911785,-0.1470844550165221,7899,0.0017372977363044472,0.008317957659927756,1502.8450648348746,130079.57181019087,7386.61017497463,-0.2287782853282741,-0.06539062470477007,0.041680903736656755,"0.86 	 (0.80, 0.94)",0.7955048890593988,0.9367014931593297,G1
ge65,Conditional,5.956054795824705e-6,0.001101899397284314,0.20311944830689774,7899,0.0011084510575597212,0.005910644615947949,2857.531670021158,257615.98895620584,7618.175944567935,0.13786525990286183,0.2683736367109336,0.033293408620321846,"1.23 	 (1.15, 1.31)",1.1478208823572416,1.3078357041674473,G1
heavydrinker,Conditional,6.213247121582581e-6,9.265822199508636e-4,0.07898225257234509,7899,9.334167917846045e-4,0.007322100795587559,1907.230297744844,167869.23191624886,7489.4355380624565,0.019101254956645913,0.13886325018804424,0.030551870512042376,"1.08 	 (1.02, 1.15)",1.0192848510358432,1.14896696824313,G1
hh_children,Conditional,1.0845978870196758e-6,4.024042005833585e-5,0.010638224124643063,7899,4.143347773405749e-5,0.028794533815851377,172.09882315661892,10854.814498900812,4494.185272358191,-0.001979243914925802,0.02325569216421193,0.006436884163479834,"1.01 	 (1.00, 1.02)",0.9980227134967002,1.023528214235938,G1
hh_high,Conditional,4.537800139932275e-6,0.0016491453638015094,-0.12197784984937496,7899,0.001654136943955435,0.003017634163946213,10427.601787543806,988346.7388260658,7810.948481422919,-0.20169180419505178,-0.04226389550369812,0.0406710824045222,"0.89 	 (0.82, 0.96)",0.8173467919809994,0.9586167725340696,G1
hh_highest,Conditional,4.921499986259124e-6,0.0019188193306423128,-0.09694308452631883,7899,0.0019242329806271978,0.0028134067129025483,11953.549597925063,1137044.5232881238,7820.6203303185475,-0.1829191131247015,-0.010967055927936176,0.04386608006908296,"0.91 	 (0.83, 0.99)",0.8328355184754006,0.9890928629851935,G1
hh_lengthmar,Conditional,6.786667428328297e-9,6.39924350658523e-7,0.002530025978651536,7899,6.473896848296842e-7,0.011531438245150774,824.5992061508834,67682.36946682855,6998.756969763983,9.530003717415586e-4,0.004107051585561513,8.046052975401568e-4,"1.00 	 (1.00, 1.00)",1.0009534546208843,1.0041154970799937,G1
hh_low,Conditional,2.1655867626074998e-6,0.0010769431235297588,6.389141238829028e-4,7899,0.001079325268968627,0.0022070690896957884,19217.40993568358,1847611.4821134452,7846.10996099351,-0.06375199367518108,0.06502982192294689,0.03285308614070567,"1.00 	 (0.94, 1.07)",0.9382376595527109,1.067190849592932,G1
hh_medium,Conditional,4.218344287400127e-6,0.0013094960077565682,-0.05373543126957265,7899,0.0013141361864727084,0.0035309724851234096,7684.701504444554,721861.4386419607,7784.2593224144675,-0.12478623685311,0.017315374313964703,0.03625101635089296,"0.95 	 (0.88, 1.02)",0.8826855680637574,1.0174661544219135,G1
hh_size,Conditional,4.591721297550771e-7,1.3185753285427097e-4,-0.02345384488851693,7899,1.3236262219700157e-4,0.003815951469885784,6612.5117395766865,618068.8038667621,7767.994072547068,-0.04600307002003339,-9.046197570004716e-4,0.011504895575232378,"0.98 	 (0.96, 1.00)",0.9550390301972587,0.9990957892880992,G1
husband,Conditional,7.559110037904753e-7,5.909375955702579e-4,0.16303666226551575,7899,5.917690976744274e-4,0.001405112411981656,46745.05578327344,4558483.311668678,7872.285999680801,0.11535796862503804,0.21071535590599344,0.024326304644857744,"1.18 	 (1.12, 1.23)",1.1222751049517232,1.2345608945758593,G1
laborforceother,Conditional,1.2312037238250257e-5,0.0028602600864830736,0.1294904441033451,7899,0.002873803327445149,0.004712654075084328,4403.4367387659,405239.13995898527,7710.241523279883,0.02442064307855006,0.2345602451281401,0.05360786628327179,"1.14 	 (1.02, 1.26)",1.024721269155247,1.264352641228235,G1
laborforceretired,Conditional,8.411470514999036e-6,0.001130181898110558,0.15720330774553218,7899,0.001139434515677057,0.008120359212570451,1571.6608866616705,136487.23229168289,7407.750425784216,0.09104313540829635,0.22336348008276802,0.03375551089343867,"1.17 	 (1.10, 1.25)",1.0953162511531798,1.2502749411933287,G1
