term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_htn at w_ge65=0,4.422604233508153e-6,0.0030473975829281535,0.0989758956152336,50,0.0030522624475850125,0.0015938552927216693,36451.53808194091,3542784.464343696,48.035870739553715,-0.00930682929487714,0.20725862052534433,0.05524728452679835,"1.10 	(0.99, 1.23)",0.990736345197859,1.2303007116566087,W2
h_htn at w_ge65=1,1.1582343371247256e-5,0.002112800712337763,0.0628474348885965,50,0.002125541290046135,0.005994039150420572,2782.533291894554,250497.47869105096,47.81568615789439,-0.02751438361737457,0.15320925339456754,0.04610359302750855,"1.06 	(0.97, 1.17)",0.9728606891969045,1.1655688526651682,W2
Interaction of h_htn:w_ge65,8.515364248240625e-6,0.005157490987246295,-0.03612846072663709,50,0.00516685788791936,0.0018128814216015995,28285.32550280678,2738443.0449163066,48.0251417566958,-0.17701241777750742,0.10475549632423323,0.07188085898150745,"0.96 	(0.84, 1.11)",0.8377693812246225,1.1104390707263316,W2
w_htn at h_ge65=0,1.5107329277624801e-6,0.002435349448205103,0.13349339505197647,50,0.002437011254425642,6.819033837126801e-4,195934.6166057487,19355162.34802124,48.08027955132302,0.03673762235442926,0.23024916774952367,0.04936609417834919,"1.14 	(1.04, 1.26)",1.0374207891018472,1.2589136515345662,H2
w_htn at h_ge65=1,1.758645888547555e-6,0.001493990401559842,9.171963948068935e-4,50,0.0014959249120372444,0.0012931868851410282,55077.06390677582,5381705.473786519,48.050559154903446,-0.07488871718239547,0.07672310997200923,0.03867718852291677,"1.00 	(0.93, 1.08)",0.9278467339824642,1.079743064910396,H2
Interaction of w_htn:h_ge65,3.09522246227815e-6,0.0039019432685442603,-0.13257619865716957,50,0.0039053480132527664,8.718159551855538e-4,120276.7080158488,11841122.766000101,48.07106653165249,-0.25505981650200166,-0.010092580812337507,0.06249278368942102,"0.88 	(0.77, 0.99)",0.7748701465531329,0.9899581783741349,H2
h_htn at w_education_2=0,1.9312498456558637e-4,0.010533751938363593,-0.004474247519728125,49,0.010746189421385737,0.019768633763274097,319.53548654273436,23029.748652415867,46.091545606811046,-0.20766229751385024,0.19871380247439396,0.10366382889603169,"1.00 	(0.81, 1.22)",0.8124813673659698,1.2198328028076326,W3 E2
h_htn at w_education_2=1,3.277325788566215e-6,0.002593784717725242,0.04610125737791469,49,0.002597389776092665,0.0013879543226839215,47893.32730999932,4671885.192534819,47.04951678365085,-0.05378753596806782,0.1459900507238972,0.050964593357473824,"1.05 	(0.95, 1.16)",0.9476334231326419,1.1571846748436903,W3 E2
Interaction of h_htn:w_education_2,1.736540415974639e-4,0.013677085539825794,0.05057550489764282,49,0.013868104985583003,0.013774012091471055,599.2775682360199,47437.47776241169,46.420946044234164,-0.18024146345612135,0.281392473251407,0.11776291855071784,"1.05 	(0.84, 1.32)",0.8350685485273177,1.3249735185671507,W3 E2
w_htn at h_education_2=0,1.7509445905442996e-5,0.006475818317488459,-0.008030643498003705,49,0.006495078707984446,0.0029653821550015037,10788.436598667004,1023484.2643452438,46.97351351399325,-0.1659883479847396,0.14992706098873218,0.08059205114640305,"0.99 	(0.85, 1.16)",0.8470561040425484,1.161749502777823,H3 E2
w_htn at h_education_2=1,1.602109409050929e-6,0.00176081724715156,0.04058402586114096,49,0.001762579567501516,9.99852932854622e-4,91654.00621089386,9002647.792707458,47.06803007551019,-0.04170132306186579,0.1228693747841477,0.04198308668382443,"1.04 	(0.96, 1.13)",0.95915621563626,1.1307367085735895,H3 E2
Interaction of w_htn:h_education_2,2.0639538354478936e-5,0.007448101731221974,0.048614669359144665,49,0.007470805223411901,0.003038961867025921,10285.59486608566,974522.8088263032,46.969938797336034,-0.12079271510660128,0.2180220538248906,0.08643381990524253,"1.05 	(0.89, 1.24)",0.8862176400841753,1.2436144937729121,H3 E2
h_htn at w_education_3=0,1.9312498456558637e-4,0.010533751938363593,-0.004474247519728125,49,0.010746189421385737,0.019768633763274097,319.53548654273436,23029.748652415867,46.091545606811046,-0.20766229751385024,0.19871380247439396,0.10366382889603169,"1.00 	(0.81, 1.22)",0.8124813673659698,1.2198328028076326,W3 E3
h_htn at w_education_3=1,3.746311270358585e-6,0.008271017892707032,0.19770582742556067,49,0.008275138835104426,4.9799072613897e-4,366171.2515309916,36291088.89033943,47.09186048360492,0.01941222913616575,0.3759994257149556,0.09096779009684926,"1.22 	(1.02, 1.46)",1.0196018715961406,1.4564462973555192,W3 E3
Interaction of h_htn:w_education_3,1.670302414141941e-4,0.021523613694457242,0.2021800749452888,49,0.021707346960012856,0.008464105074381908,1454.9490509014943,125626.25611647099,46.699229022254926,-0.0865923030655433,0.4909524529561209,0.14733413372335977,"1.22 	(0.92, 1.63)",0.9170508982688452,1.6338716649909233,W3 E3
w_htn at h_education_3=0,1.7509445905442996e-5,0.006475818317488459,-0.008030643498003705,49,0.006495078707984446,0.0029653821550015037,10788.436598667004,1023484.2643452438,46.97351351399325,-0.1659883479847396,0.14992706098873218,0.08059205114640305,"0.99 	(0.85, 1.16)",0.8470561040425484,1.161749502777823,H3 E3
w_htn at h_education_3=1,1.027243472426247e-6,0.0025593936397454173,0.12130648545524453,49,0.0025605236075650862,4.4130341791435675e-4,465812.2398323355,46213400.61363716,47.094544442579675,0.0221291366647621,0.22048383424572693,0.05060161664971868,"1.13 	(1.02, 1.25)",1.0223758021473164,1.2466797710564936,H3 E3
Interaction of w_htn:h_education_3,1.824701788219064e-5,0.008980440159236155,0.12933712895324823,49,0.009000511878906565,0.002230064238618408,18830.77548744533,1809704.901447465,47.00909313598192,-0.05660679269245533,0.31528105059895173,0.09487102760541052,"1.14 	(0.94, 1.37)",0.9449655636896165,1.3706444772801378,H3 E3
h_htn at residence=0,4.781354717807306e-4,0.025276530478388806,-0.1696084493289472,50,0.02580247949734761,0.020383661927252734,303.3752117596498,21660.97963126305,47.03015050719136,-0.484458001450578,0.1452411027926836,0.16063150219476754,"0.84 	(0.62, 1.16)",0.6160309942025067,1.1563183282401783,W4
h_htn at residence=1,7.052106834701954e-5,0.004976633825561969,-0.020057783531966245,50,0.0050542070007436905,0.015348238639673278,494.8941620598907,38205.45913220144,47.31608263184176,-0.15940181213131313,0.11928624506738061,0.0710929462094777,"0.98 	(0.85, 1.13)",0.8526536835343157,1.1266923822711694,W4
Interaction of h_htn:residence,1.8579592446718815e-4,0.008897932208569175,0.14955066579698095,50,0.009102307725483082,0.02245315397783481,257.96059902160596,17852.037898573828,46.909327146607694,-0.0374543666822382,0.3365556982762001,0.09540601514308772,"1.16 	(0.96, 1.40)",0.9632383724806451,1.4001168511932112,W4
w_htn at residence=0,0.00033562125514596624,0.021029879899456764,-0.05721359686126195,50,0.021399063280117328,0.01725231501154469,403.5667432197341,30237.63015157686,47.20932124274289,-0.34393681138278204,0.2295096176602581,0.14628418670559484,"0.94 	(0.71, 1.26)",0.708973725703516,1.2579829660178934,H4
w_htn at residence=1,6.413770022392488e-5,0.0047588548692285865,0.011221755080329378,50,0.0048294063394749035,0.014608725231844616,539.8964860588565,42171.38534512783,47.35709465339702,-0.1249877546833788,0.14743126484403754,0.06949393023476873,"1.01 	(0.88, 1.16)",0.8825077091047493,1.158853628107308,H4
Interaction of w_htn:residence,1.0692452778690555e-4,0.006407841660301662,0.06843535194159132,50,0.006525458640867258,0.018024323965367187,374.1971014159431,27702.855711587676,47.16556072217607,-0.08989806596095808,0.22676876984414068,0.08078031097283087,"1.07 	(0.91, 1.25)",0.9140243507166337,1.2545397469779889,H4
h_htn at hh_low=0,5.678544826993875e-6,0.006037219748732305,0.05372406108102671,47,0.006043466148041999,0.0010335789357762866,85821.80778868875,8424714.838522537,45.073123771103624,-0.0986430384276695,0.2060911605897229,0.07773973339317546,"1.06 	(0.91, 1.23)",0.9060660810771746,1.2288652229677923,W5 Low
h_htn at hh_low=1,4.3599106704200414e-6,0.005825990880416739,0.11764834295024461,47,0.005830786782154201,8.225136532415247e-4,135008.9104773846,13303204.830844173,45.082735404244985,-0.032013714337825946,0.26731040023831515,0.07635958867198148,"1.12 	(0.97, 1.31)",0.9684932997438237,1.3064459045203485,W5 Low
Interaction of h_htn:hh_low,1.0392156437802433e-5,0.012760208901542277,0.06392428186921789,47,0.01277164027362386,8.950590399254259e-4,114158.4483096243,11234122.18386905,45.07943404405643,-0.1575745685920686,0.2854231323305043,0.11301168202280622,"1.07 	(0.85, 1.33)",0.8542131137642852,1.3303248124851819,W5 Low
w_htn at hh_low=0,5.611365428130011e-6,0.00387940168752248,0.07583390011356818,47,0.0038855741894934233,0.0015885688111768482,36691.10828704855,3566403.243414622,45.047754763351975,-0.04633926950661883,0.19800706973375518,0.06233437406033226,"1.08 	(0.95, 1.22)",0.9547180005336651,1.2189710115916872,H5 Low
w_htn at hh_low=1,8.639521311380865e-6,0.00436908931168216,0.0806018790423258,47,0.0043785927851246785,0.00217044011829667,19858.67583280764,1910499.3436932017,45.021008794626596,-0.04909085471309202,0.21029461279774359,0.06617093610585148,"1.08 	(0.95, 1.23)",0.9520946234849625,1.2340415708463528,H5 Low
Interaction of w_htn:hh_low,2.6177870680516512e-5,0.008017331574734507,0.004767978928757618,47,0.008046127232483076,0.0035788220738440495,7486.82898513343,702687.6079134323,44.95564724922524,-0.1710415000809733,0.18057745793848848,0.08970020753868453,"1.00 	(0.84, 1.20)",0.8427865970338424,1.1979089054413254,H5 Low
h_htn at hh_medium=0,5.678544826993875e-6,0.006037219748732305,0.05372406108102671,47,0.006043466148041999,0.0010335789357762866,85821.80778868875,8424714.838522537,45.073123771103624,-0.0986430384276695,0.2060911605897229,0.07773973339317546,"1.06 	(0.91, 1.23)",0.9060660810771746,1.2288652229677923,W5 Medium
h_htn at hh_medium=1,6.291239194908512e-5,0.010941289566651717,0.03158633003398997,47,0.01101049319779571,0.006285243530948109,2543.270371928971,227823.3795837967,44.82758759139072,-0.17407554206891204,0.237248202136892,0.10493089725050343,"1.03 	(0.84, 1.27)",0.8402334222898424,1.2677557384122422,W5 Medium
Interaction of h_htn:hh_medium,5.45199143547355e-5,0.015513054163973342,-0.022137731047036736,47,0.015573026069763551,0.003851011712274082,6496.619010714309,606866.0334263216,44.942913750199985,-0.26672590939987945,0.222450447305806,0.1247919311083996,"0.98 	(0.77, 1.25)",0.7658829640205022,1.249133920165869,W5 Medium
w_htn at hh_medium=0,5.611365428130011e-6,0.00387940168752248,0.07583390011356818,47,0.0038855741894934233,0.0015885688111768482,36691.10828704855,3566403.243414622,45.047754763351975,-0.04633926950661883,0.19800706973375518,0.06233437406033226,"1.08 	(0.95, 1.22)",0.9547180005336651,1.2189710115916872,H5 Medium
w_htn at hh_medium=1,4.275431761914846e-6,0.006513022121607979,0.05273378164608345,47,0.006517725096546086,7.215669376111859e-4,175110.31424518683,17285791.029170785,45.08732529611997,-0.10549888271019889,0.21096644600236578,0.08073242902666862,"1.05 	(0.90, 1.23)",0.8998754782679158,1.2348709195103222,H5 Medium
Interaction of w_htn:hh_medium,1.6841486539116057e-5,0.010443639012186095,-0.023100118467484724,47,0.010462164647379124,0.001770726787182471,29625.96854871631,2870379.9973587445,45.03939807891111,-0.22357457709597747,0.17737434016100798,0.10228472343111225,"0.98 	(0.80, 1.19)",0.7996552536771998,1.1940780008252552,H5 Medium
h_htn at hh_high=0,5.678544826993875e-6,0.006037219748732305,0.05372406108102671,47,0.006043466148041999,0.0010335789357762866,85821.80778868875,8424714.838522537,45.073123771103624,-0.0986430384276695,0.2060911605897229,0.07773973339317546,"1.06 	(0.91, 1.23)",0.9060660810771746,1.2288652229677923,W5 High
h_htn at hh_high=1,8.13441082916917e-6,0.007422792221528941,0.10591038456400731,47,0.007431740073441028,0.0012040049603003772,63437.69529063085,6208489.588376275,45.065348179536024,-0.06305332334262373,0.2748740924706383,0.08620754069941346,"1.11 	(0.94, 1.32)",0.9388934074194437,1.316364924177869,W5 High
Interaction of h_htn:hh_high,1.653551099369678e-5,0.01326389786969132,0.05218632348298059,47,0.013282086931784386,0.001369443084244506,49180.67090728463,4799041.82718614,45.05778768040452,-0.17369553886572375,0.2780681858316849,0.11524793677886119,"1.05 	(0.84, 1.32)",0.8405527743552994,1.3205762387284237,W5 High
w_htn at hh_high=0,5.611365428130011e-6,0.00387940168752248,0.07583390011356818,47,0.0038855741894934233,0.0015885688111768482,36691.10828704855,3566403.243414622,45.047754763351975,-0.04633926950661883,0.19800706973375518,0.06233437406033226,"1.08 	(0.95, 1.22)",0.9547180005336651,1.2189710115916872,H5 High
w_htn at hh_high=1,2.4926389277763984e-6,0.0042337045809156286,0.03438621636527418,47,0.004236446483736183,6.472176223824064e-4,217363.51982096984,21485320.774002466,45.090702909954175,-0.09318390767220357,0.16195634040275192,0.06508799031876912,"1.03 	(0.91, 1.18)",0.9110259402288373,1.1758089048571163,H5 High
Interaction of w_htn:hh_high,8.991617224023391e-6,0.008412697213805484,-0.041447683748293995,47,0.008422587992751909,0.0011743158937534734,66650.65785706438,6526384.126748376,45.06670366517859,-0.22132274299435795,0.13842737549776993,0.09177465877218999,"0.96 	(0.80, 1.15)",0.8014579735983035,1.148466271750103,H5 High
h_htn at hh_highest=0,5.678544826993875e-6,0.006037219748732305,0.05372406108102671,47,0.006043466148041999,0.0010335789357762866,85821.80778868875,8424714.838522537,45.073123771103624,-0.0986430384276695,0.2060911605897229,0.07773973339317546,"1.06 	(0.91, 1.23)",0.9060660810771746,1.2288652229677923,W5 Highest
h_htn at hh_highest=1,1.62799396370494e-5,0.013616506325092042,0.10681653143099686,47,0.013634414258692797,0.0013134362254936553,53411.139437133126,5217044.352936541,45.06034856155253,-0.12204164566074192,0.3356747085227356,0.11676649458938466,"1.11 	(0.89, 1.40)",0.8851115066815389,1.3988839057795401,W5 Highest
Interaction of h_htn:hh_highest,1.2466905582219692e-5,0.022035369809648372,0.05309247034997014,47,0.022049083405788813,6.219576518469364e-4,235271.51636469836,23265954.742041763,45.09184987786543,-0.2379412987390336,0.3441262394389739,0.14848933768385128,"1.05 	(0.79, 1.41)",0.7882489609436707,1.4107567174034963,W5 Highest
w_htn at hh_highest=0,5.611365428130011e-6,0.00387940168752248,0.07583390011356818,47,0.0038855741894934233,0.0015885688111768482,36691.10828704855,3566403.243414622,45.047754763351975,-0.04633926950661883,0.19800706973375518,0.06233437406033226,"1.08 	(0.95, 1.22)",0.9547180005336651,1.2189710115916872,H5 Highest
w_htn at hh_highest=1,2.60534162483984e-6,0.005537100400882355,0.06692616573234692,47,0.005539966276669679,5.173092477823945e-4,339450.6167799961,33631173.76832523,45.09659853588226,-0.078955820310070507,0.21280815177476428,0.07443094972301294,"1.07 	(0.92, 1.24)",0.9240807491442359,1.2371472839642994,H5 Highest
Interaction of w_htn:hh_highest,1.4095666002669661e-5,0.010675961938130665,-0.008907734381221256,47,0.0106914671707336,0.0014502436714560597,43916.143303877725,4279179.964463058,45.05409064071876,-0.21156718790591905,0.19375171914347653,0.10339955111475872,"0.99 	(0.81, 1.21)",0.8093149030524092,1.2137948835086034,H5 Highest
h_htn at hh_lengthmar_ge10=0,4.4923699081300656e-4,0.020420599225459645,0.2528602479943609,49,0.020914759915353954,0.023627366122980633,237.07195211806447,16121.73905174236,45.87128191353258,-0.030609775259013816,0.5363302712477356,0.14461936217309893,"1.29 	(0.97, 1.71)",0.9698539602536396,1.7097211229966514,W6
h_htn at hh_lengthmar_ge10=1,9.177000289534749e-6,0.0014846341462904096,0.058241796279434835,49,0.0014947288466088979,0.0067535328172665865,2220.4070431410737,197324.25887135792,46.786093584219635,-0.01753425372190938,0.13401784628077906,0.03866172327520978,"1.06 	(0.98, 1.14)",0.982618576745134,1.1434132251360276,W6
Interaction of h_htn:hh_lengthmar_ge10,5.214650279436521e-4,0.022960993842621423,-0.1946184517149261,49,0.02353460537335944,0.02437311021952935,225.2594724742283,15150.278088630166,45.82799072476734,-0.4953204046303232,0.10608350120047094,0.15340992592840738,"0.82 	(0.61, 1.11)",0.6093756292407685,1.1119147188440983,W6
w_htn at hh_lengthmar_ge10=0,1.0969518643302734e-4,0.008752999959591444,0.20004456029920872,49,0.008873664664667774,0.013598069077004919,613.1544588935346,48672.98971534777,46.43037298486484,0.01541110503481119,0.38467801556360626,0.09420013091640464,"1.22 	(1.02, 1.47)",1.0155304685000257,1.4691412046743442,H6
