iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,6.80E-04,0.027494225,-1.476157465,51,0.028241717,0.026467636,196.9699212,12847.30958,47.63398622,-1.805565778,-1.146749152,0.16805272,"0.23 	(0.16, 0.32)",0.164381427,0.317667782,W1
h_htn,Conditional,5.62E-06,0.001331294,0.082321672,51,0.001337473,0.004619318,4575.798704,421780.7593,48.87858625,0.0106427,0.154000644,0.036571471,"1.09 	(1.01, 1.17)",1.010699535,1.166491639,W1
hh_children,Conditional,1.66E-06,1.16E-04,0.012240744,51,1.18E-04,0.015532691,484.6207298,37303.45737,48.28570123,-0.009021019,0.033502507,0.010847686,"1.01 	(0.99, 1.03)",0.991019549,1.034070037,W1
hh_high,Conditional,1.53E-05,0.003258944,-0.175613572,51,0.003275722,0.005121925,3754.225395,343064.8031,48.85261008,-0.287790403,-0.063436741,0.057233927,"0.84 	(0.75, 0.94)",0.749918757,0.938533488,W1
hh_highest,Conditional,2.56E-05,0.00548667,-0.125718241,51,0.005514847,0.005109186,3772.142301,344777.635,48.85327007,-0.271269625,0.019833143,0.074262014,"0.88 	(0.76, 1.02)",0.762410903,1.020031127,W1
hh_lengthmar,Conditional,1.15E-08,1.82E-06,0.003699326,51,1.83E-06,0.006891474,2137.402555,189503.9479,48.76011377,0.001045586,0.006353066,0.001353965,"1.00 	(1.00, 1.01)",1.001046133,1.006373289,W1
hh_low,Conditional,2.60E-06,0.002475738,0.027791677,51,0.002478594,0.001152084,69220.37835,6780694.099,49.0541761,-0.069786085,0.125369438,0.049785478,"1.03 	(0.93, 1.13)",0.932593295,1.133567159,W1
hh_medium,Conditional,2.20E-05,0.00323153,-0.014611844,51,0.003255759,0.007441954,1850.031513,162505.6752,48.73101099,-0.126446764,0.097223077,0.057059256,"0.99 	(0.88, 1.10)",0.881221061,1.102106201,W1
hh_size,Conditional,1.77E-06,2.36E-04,-0.013210444,51,2.38E-04,0.008165142,1555.636113,134994.1726,48.69254212,-0.043471738,0.017050849,0.015439581,"0.99 	(0.96, 1.02)",0.957459614,1.017197044,W1
residence,Conditional,4.90E-05,0.001306313,-0.07376433,51,0.001360204,0.039619714,105.5137378,5733.500254,46.78051362,-0.146064921,-0.001463739,0.036880947,"0.93 	(0.86, 1.00)",0.864101603,0.998537332,W1
w_bmi,Conditional,6.59E-07,6.53E-06,0.029238755,51,7.25E-06,0.099991279,32.49298307,900.1570069,42.13163764,0.023953815,0.034523695,0.002692822,"1.03 	(1.02, 1.04)",1.024243013,1.035126556,W1
w_education_2,Conditional,4.67E-05,0.002331708,-0.071615262,51,0.002383027,0.021535573,276.5715152,19405.71424,47.9347765,-0.167299346,0.024068821,0.048816262,"0.93 	(0.85, 1.02)",0.845946343,1.024360813,W1
w_education_3,Conditional,4.58E-05,0.004299071,-0.20519596,51,0.00434942,0.011575905,818.8697501,67163.38885,48.50754653,-0.334458169,-0.07593375,0.06595013,"0.81 	(0.72, 0.93)",0.715725783,0.92687761,W1
w_ge65,Conditional,8.76E-06,0.003053538,0.290238831,51,0.003063177,0.003146711,9611.379342,908926.6073,48.95393589,0.181762566,0.398715097,0.055345977,"1.34 	(1.20, 1.49)",1.199329398,1.489909078,W1
w_heavydrinker,Conditional,3.82E-05,0.002476394,0.04679228,51,0.002518402,0.016680647,427.8656488,32345.71156,48.21991402,-0.051569614,0.145154173,0.050183684,"1.05 	(0.95, 1.16)",0.949737533,1.156217814,W1
w_laborforceother,Conditional,5.50E-05,0.003791971,0.187350986,51,0.003852494,0.01570995,475.0733686,36466.40083,48.27558427,0.065695002,0.30900697,0.06206846,"1.21 	(1.07, 1.36)",1.06790096,1.362071864,W1
w_laborforceretired,Conditional,2.02E-05,0.003064269,0.152248849,51,0.003086488,0.007198713,1969.06195,173673.1737,48.74388978,0.043360006,0.261137692,0.055556166,"1.16 	(1.04, 1.30)",1.044313787,1.298406434,W1
w_moderate_pa,Conditional,5.87E-07,8.36E-05,-0.014803552,51,8.42E-05,0.007665551,1750.261699,153163.6602,48.71914559,-0.03279212,0.003185016,0.009177937,"0.99 	(0.97, 1.00)",0.967739713,1.003190093,W1
w_raceethnicNHBlack,Conditional,8.18E-06,0.004323355,0.236995029,51,0.004332352,0.002076689,21656.27868,2086890.077,49.00797169,0.107988936,0.366001123,0.065820607,"1.27 	(1.11, 1.44)",1.114035419,1.441956862,W1
w_raceethnicNHOther,Conditional,2.94E-05,0.012301997,0.062068471,51,0.012334302,0.002619137,13745.58306,1311976.864,48.98065371,-0.155605138,0.27974208,0.111059902,"1.06 	(0.86, 1.32)",0.855897085,1.322788594,W1
