term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_htn at w_ge65=0,2.287987620504364e-4,5.058939626086075e-4,0.18532763786199544,2329,7.575726008640876e-4,0.33221718679954276,12.981779929666473,81.54518395803498,77.4793273549675,0.1305689881155736,0.24008628760841724,0.027524036783584047,"1.20 	(1.14, 1.27)",1.1394765475217872,1.2713588481029998,W2
h_htn at w_ge65=1,4.6011280913873815e-4,0.0013441551036722642,0.11238162167683935,2329,0.0018502791937248762,0.27353930788883374,14.41519297264821,120.28265950218989,112.29268308939106,0.027217207518415748,0.19754603583526295,0.04301487177389788,"1.12 	(1.03, 1.22)",1.02759097901133,1.2184091541616768,W2
Interaction of h_htn:w_ge65,4.088520017837226e-4,0.0017151610564361192,-0.07294601618515609,2329,0.002164898258398214,0.20774057174162577,17.173638234212667,208.54503962834892,187.35197071275914,-0.164672446138885,0.018780413768572812,0.046528467182986095,"0.93 	(0.85, 1.02)",0.8481714804353789,1.0189578749297579,W2
w_htn at h_ge65=0,1.5251363164501183e-4,5.559871619248512e-4,0.17966101889069078,2329,7.237521567343642e-4,0.2317989566573231,15.953833189344982,167.50182983663942,153.15128334607593,0.12654907510487062,0.23277296267651093,0.026902642188721244,"1.20 	(1.13, 1.26)",1.1349051453984889,1.2620949041478347,H2
w_htn at h_ge65=1,1.243546851573278e-4,7.644284116186531e-4,0.13390370971773852,2329,9.012185652917137e-4,0.15178355056276857,21.869640684588656,390.65473619359784,326.11088999136314,0.07488214155502726,0.19292527788044977,0.03002030255163518,"1.14 	(1.08, 1.21)",1.0777571206206893,1.2127921677319393,H2
Interaction of w_htn:h_ge65,9.048040058501706e-5,0.0012536295973904967,-0.045757309172952246,2329,0.0013531580380340155,0.07355270991710788,45.95087729041599,1663.5856025724308,938.996735779205,-0.1179076587873541,0.026393040441449606,0.03678529649240326,"0.96 	(0.89, 1.03)",0.888778119674817,1.0267444212582746,H2
h_htn at w_education_2=0,1.4859678549935317e-4,5.232939052008734e-4,0.18358139297043394,2328,6.86750369250162e-4,0.2380143810155657,15.684990268162826,158.86788466103013,145.79913346779776,0.13182446540267195,0.23533832053819592,0.026205922407924548,"1.20 	(1.14, 1.27)",1.1409080328570163,1.265336785747689,W3 E2
h_htn at w_education_2=1,5.573035961824463e-4,0.0018742791082918516,0.12807624846297175,2328,0.0024873130640925426,0.24646433319978836,15.344570707207591,148.16115330831968,136.61300408780278,0.029522035667224042,0.22663046125871944,0.04987296927286907,"1.14 	(1.03, 1.25)",1.0299621311246088,1.254366245358888,W3 E2
Interaction of h_htn:w_education_2,3.375666222134233e-4,0.0023107223489244218,-0.0555051445074622,2328,0.0026820456333591872,0.13844778769468347,23.686539059393215,469.5377004188994,380.4070238977148,-0.15727099872520323,0.046260709710278826,0.05178847008127569,"0.95 	(0.85, 1.05)",0.8544724664893497,1.0473474290109406,W3 E2
w_htn at h_education_2=0,1.3456842184773475e-4,6.600781674774897e-4,0.19200606477476664,2328,8.08103431509998e-4,0.183176135950707,18.816230567109034,268.22837746297733,235.04523139895971,0.1360373196984281,0.24797480985110515,0.02842716010279602,"1.21 	(1.15, 1.28)",1.145724650895465,1.2814276524340942,H3 E2
w_htn at h_education_2=1,1.5515433157306473e-4,8.327532540697042e-4,0.14275324724376137,2328,0.0010034230188000755,0.17008755184275468,19.925488188119225,311.09816475248573,267.92034807489443,0.0804252785863932,0.20508121590112954,0.03167685304445622,"1.15 	(1.08, 1.23)",1.0837478644443117,1.227624763565989,H3 E2
Interaction of w_htn:h_education_2,9.572078447778956e-5,0.0014107520885936783,-0.049252817531005286,2328,0.0015160449515192469,0.0694523357107936,49.27350878947823,1865.8159347728113,1002.0357898681624,-0.12561633904145986,0.02711070397944927,0.03893642191469636,"0.95 	(0.88, 1.03)",0.8819531528738659,1.0274815427632324,H3 E2
h_htn at w_education_3=0,1.4859678549935317e-4,5.232939052008734e-4,0.18358139297043394,2328,6.86750369250162e-4,0.2380143810155657,15.684990268162826,158.86788466103013,145.79913346779776,0.13182446540267195,0.23533832053819592,0.026205922407924548,"1.20 	(1.14, 1.27)",1.1409080328570163,1.265336785747689,W3 E3
h_htn at w_education_3=1,0.0022655639222740353,0.011144397087062918,-0.008664886183422288,2328,0.013636517401564357,0.18275342898147495,18.84910907769741,269.4706319135687,236.0137510354806,-0.23857324205815375,0.22124346969130917,0.11677550000562771,"0.99 	(0.79, 1.25)",0.7877509896403903,1.2476271529867689,W3 E3
Interaction of h_htn:w_education_3,0.001423730307390755,0.01158334101199401,-0.19224627915385623,2328,0.013149444350123841,0.1191003434388527,27.236754632719464,634.4778742266011,484.4613800068489,-0.4174269140401792,0.03293435573246667,0.11467102663761165,"0.83 	(0.66, 1.03)",0.6587396347072053,1.033482694800022,W3 E3
w_htn at h_education_3=0,1.3456842184773475e-4,6.600781674774897e-4,0.19200606477476664,2328,8.08103431509998e-4,0.183176135950707,18.816230567109034,268.22837746297733,235.04523139895971,0.1360373196984281,0.24797480985110515,0.02842716010279602,"1.21 	(1.15, 1.28)",1.145724650895465,1.2814276524340942,H3 E3
w_htn at h_education_3=1,5.642932458761588e-4,0.0027691789221859562,0.03699661995311107,2328,0.0033899014926497308,0.18310932391683876,18.82141525738014,268.42415288826083,235.19793119336398,-0.0776349386481181,0.15162817855434024,0.05822286056738994,"1.04 	(0.93, 1.16)",0.9253021569499446,1.1637274571533172,H3 E3
Interaction of w_htn:h_education_3,3.8235460938732517e-4,0.0032514903683418905,-0.15500944482165557,2328,0.003672080438667948,0.11453727045223097,28.294258424189763,686.0390724150243,514.6212157090575,-0.2739886474499648,-0.03603024219334634,0.060597693344449574,"0.86 	(0.76, 0.96)",0.760340707017806,0.9646111210859787,H3 E3
h_htn at residence=0,2.425642157666682e-4,9.535400945452135e-4,0.10651632928305114,2329,0.0012203607318885484,0.21864079232574235,16.58210899753948,188.2695672754044,170.60421570001282,0.03760463699531928,0.175428021570783,0.034933661873450206,"1.11 	(1.04, 1.19)",1.0383206381495425,1.1917562048243737,W4
h_htn at residence=1,1.9529615128900836e-4,6.790661953905037e-4,0.1992744549607301,2329,8.938919618084128e-4,0.24032632084899838,15.589094368647766,155.8259680724105,143.2028257572349,0.14021674200245487,0.2583321679190053,0.02989802605203917,"1.22 	(1.15, 1.29)",1.1505231385239763,1.2947688278697924,W4
Interaction of h_htn:residence,2.986068947033436e-5,0.001607343747798187,0.09275812567767895,2329,0.0016401905062155549,0.020026184941867392,312.5960834761133,22441.19938278559,2070.049864094762,0.013376742467012315,0.1721395088883456,0.04049926550217368,"1.10 	(1.01, 1.19)",1.0134666113571036,1.1878435363863942,W4
