iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,0,3.421447603603256e-4,-1.1021771802691591,2356,3.421447603603256e-4,0,Inf,Inf,2353.7609874126306,-1.1384309388003853,-1.065923421737933,0.018497155466728542,"0.33 (0.32, 0.34)",0.32032123133003093,0.3444096725032764,W0
h_htn,Conditional,0,4.975553900117164e-4,0.32812434022369596,2356,4.975553900117164e-4,0,Inf,Inf,2353.7609874126306,0.2844054822589182,0.3718431981884737,0.022305949655007214,"1.39 (1.33, 1.45)",1.3289716959608626,1.4504055372461175,W0
(Intercept),Conditional,0,2.3584091689455807e-4,-0.9761476307521528,2356,2.3584091689455807e-4,0,Inf,Inf,2353.7609874126306,-1.006247018959975,-0.9460482425443306,0.015357112908830165,"0.38 (0.37, 0.39)",0.365588454695955,0.38827235390779846,H0
w_htn,Conditional,0,4.005285177800705e-4,0.30251258435993517,2356,4.005285177800705e-4,0,Inf,Inf,2353.7609874126306,0.2632874163224902,0.34173775239738013,0.02001320858283525,"1.35 (1.30, 1.41)",1.3012006515180699,1.4073911641553007,H0
(Intercept),Conditional,3.9615180422770523e-4,0.011075745637417684,-3.3014053896900055,2329,0.01151151262206816,0.03785488484068446,112.89064612801357,6280.564075901272,1650.5287584418572,-3.5117338251337173,-3.0910769542462937,0.1072917173973283,"0.04 (0.03, 0.05)",0.02984512332659369,0.04545297725941686,W1
h_htn,Conditional,8.446585440764398e-7,4.6858447113912963e-4,0.18708312191888515,2329,4.695135955376137e-4,0.0019789084007678106,23808.098026166295,2298217.488510153,2320.0531848751693,0.14461408563621814,0.22955215820155214,0.021668262402361978,"1.21 (1.16, 1.26)",1.1555935240661088,1.258036482432507,W1
hh_consumptionquintileHigh,Conditional,4.428266359922474e-6,0.0013657873259460757,0.1676073923239316,2329,0.0013706584189419903,0.003553834367919845,7589.173825139803,712603.8157535365,2311.2123656917674,0.09504469005842545,0.24017009458943772,0.03702240428364952,"1.18 (1.10, 1.27)",1.099708000042723,1.2714654013147422,W1
hh_consumptionquintileHighest,Conditional,3.073493138653906e-6,0.0014688236082101506,0.1847460627993568,2329,0.00147220445066267,0.002296449009509181,17778.615145112217,1706588.8188623362,2318.5046156786807,0.1095435309613046,0.25994859463740894,0.038369316525873505,"1.20 (1.12, 1.30)",1.1157686403595117,1.2968634192179582,W1
hh_consumptionquintileLow,Conditional,2.1911470071380503e-6,0.0013080165842488088,0.08870314486877212,2329,0.0013104268459566606,0.0018392951237901985,27491.616932391447,2660355.4739258187,2320.6963579392013,0.01775277244687669,0.15965351729066754,0.036199818313862576,"1.09 (1.02, 1.17)",1.0179112895617015,1.1731043401978103,W1
hh_consumptionquintileMedium,Conditional,3.3300893932559302e-6,0.0012772678191529281,0.1334185489613286,2329,0.0012809309174855097,0.0028597157602942794,11578.950275998675,1100517.0409245873,2315.4660407518063,0.06327117413316423,0.20356592378949295,0.0357900952427555,"1.14 (1.07, 1.23)",1.0653156861233635,1.2257659621149632,W1
hh_high,Conditional,1.9685016145882906e-6,0.0011560756686601222,0.005784367786918675,2329,0.0011582410204361692,0.0018695174301732933,26624.193692733228,2575036.9915698664,2320.559084819651,-0.06091900069742839,0.07248773627126573,0.03403294022614222,"1.01 (0.94, 1.08)",0.9408994488886756,1.0751796202980977,W1
hh_highest,Conditional,5.985380506919672e-6,0.001198324470266194,-0.04356024031129077,2329,0.0012049083888238056,0.005464248252133639,3318.0292491493883,301426.6628351562,2296.6540512837264,-0.11159437241055091,0.024473891787969368,0.03471179034310685,"0.96 (0.89, 1.02)",0.8944069800775569,1.02477583569313,W1
hh_lengthmar,Conditional,2.1465862473977624e-7,4.043818887168193e-6,0.004004405313556529,2329,4.279943374381947e-6,0.0551700026283296,66.22277392963822,2956.8990662966116,1260.9982531808616,-5.2033317548503925e-5,0.008060843944661562,0.0020688024009996573,"1.00 (1.00, 1.01)",0.999947968036161,1.008093420018599,W1
hh_low,Conditional,2.968939209617878e-6,0.0012051800154380644,0.04152380198882133,2329,0.001208445848568644,0.002702506806116232,12929.519737873074,1232278.6289170678,2316.3515164243186,-0.02660992008484614,0.1096575240624888,0.03476270772780285,"1.04 (0.97, 1.12)",0.9737410042589368,1.115895837536693,W1
hh_medium,Conditional,5.75775746271919e-6,0.0011596931526735906,-0.010739303872863305,2329,0.0011660266858825818,0.005431722348787558,3356.012342557348,305047.4402774194,2296.936325977674,-0.0776667201031944,0.05618811235746779,0.03414713290867304,"0.99 (0.93, 1.06)",0.9252727499683122,1.0577966496435376,W1
hh_size,Conditional,1.1518421109999804e-7,1.8268422486282655e-5,-0.004135342777500057,2329,1.8395125118492653e-5,0.006887837478344926,2139.528230031067,189704.10429468454,2283.161098980793,-0.012541591487000636,0.004270905932000521,0.004288953848958118,"1.00 (0.99, 1.00)",0.9875367265187999,1.0042800392486235,W1
in_casteOBC,Conditional,3.6319223562254676e-6,6.730411552049252e-4,-0.09761670752262136,2329,6.770362697967731e-4,0.005900887101731246,2866.5116343950413,258468.66412539728,2292.7512766357822,-0.14861505366228797,-0.04661836138295477,0.026019920633944545,"0.91 (0.86, 0.95)",0.8619008366178585,0.9544515836746443,W1
in_casteScheduled Caste,Conditional,5.252855000997557e-6,0.0011704125770900591,-0.05998716130582704,2329,0.0011761907175911563,0.0049125880817449145,4066.3077458901716,372925.26662532496,2301.281827673596,-0.12720559282669308,0.007231270215038985,0.034295637005181234,"0.94 (0.88, 1.01)",0.8805526186841746,1.007257478985647,W1
in_casteScheduled Tribe,Conditional,6.984725132130574e-6,0.002428462337578815,-0.014107582673836223,2329,0.0024361455352241586,0.003153833600765019,9569.20821331307,904825.7632232617,2313.7319770458944,-0.11084629153300754,0.08263112618533511,0.049357325041215094,"0.99 (0.90, 1.09)",0.8950763191647652,1.0861410856391638,W1
in_religionMuslim,Conditional,5.673388871529664e-6,0.0010425998061271825,0.1564472391797064,2329,0.001048840533885865,0.005950120687614221,2821.6436063056844,254209.0221233143,2292.298026507189,0.09297192044918534,0.21992255791022747,0.032385807599716654,"1.17 (1.10, 1.25)",1.0974309194681684,1.2459802355377845,W1
in_religionOther,Conditional,5.128691422394098e-6,0.0011099130800181077,0.09350383184177533,2329,0.0011155546405827413,0.0050571799528228226,3846.6787122933697,351905.20790090924,2300.10180464633,0.028040966850754745,0.1589666968327959,0.033399919769106355,"1.10 (1.03, 1.17)",1.0284378154169267,1.172298904764173,W1
residence,Conditional,3.141838348133513e-6,6.249285684717329e-4,-0.05922077354562798,2329,6.283845906546797e-4,0.0054998518969827425,3277.2102359329724,297536.6849706565,2296.343719255851,-0.10835256740705626,-0.010088979684199695,0.025067600416766655,"0.94 (0.90, 0.99)",0.8973111779789534,0.9899617433468053,W1
w_age,Conditional,2.404756513749601e-7,5.097387569482345e-6,0.022118810345457967,2329,5.361910785994801e-6,0.04933375937611369,77.10646266469146,3697.8908412047817,1384.1547937543896,0.01757887095200236,0.026658749738913575,0.002315580010708937,"1.02 (1.02, 1.03)",1.0177342886576042,1.0270172730451452,W1
w_bmi,Conditional,2.683343666193625e-7,3.962194717834272e-6,0.042119037868509575,2329,4.257362521115571e-6,0.06933114147957382,49.37957040895138,1872.3447113876525,1004.1765678658138,0.03807235433907605,0.0461657213979431,0.0020633377137821065,"1.04 (1.04, 1.05)",1.038806392309353,1.0472479479710726,W1
w_education_2,Conditional,6.200793107705626e-6,9.048923763397823e-4,-0.05737285891463633,2329,9.117132487582584e-4,0.007481379071507548,1831.8022336690933,160797.46161368268,2276.889577826713,-0.11655361277576672,0.0018078949464940403,0.030194589726609277,"0.94 (0.89, 1.00)",0.8899823812717598,1.001809530173854,W1
w_education_3,Conditional,2.467778439653075e-5,0.0034483290394115252,-0.19795130577753167,2329,0.0034754746022477093,0.007810606015831004,1689.9754976270242,147527.52151577137,2273.250568968222,-0.31349831629648717,-0.0824042952585762,0.05895315599904478,"0.82 (0.73, 0.92)",0.7308856095972366,0.9208995680945382,W1
w_heavydrinker,Conditional,1.69462536654475e-6,0.015843193691847356,0.06515077561668699,2329,0.015845057779750555,1.1764475264845459e-4,6516532.4977858635,650275493.7854308,2326.7204880965905,-0.18156391222945623,0.3118654634628301,0.12587715352577114,"1.07 (0.83, 1.37)",0.8339649430413665,1.3659709076710413,W1
w_laborforceFormal,Conditional,1.428890359070598e-6,7.895928387577984e-4,-0.072040896299439,2329,7.91164618152776e-4,0.0019866654282992,23625.78206865868,2280305.5318754143,2320.016773781713,-0.12717010387049,-0.016911688728387997,0.0281276486424439,"0.93 (0.88, 0.98)",0.8805838691320131,0.9832305111377001,W1
