iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,1.129463752734277e-4,0.0034657344021821464,-2.5621730044183795,44752,0.003589975414982917,0.0346077614577095,129.24451344420146,7514.420466477834,6401.027788517585,-2.6796259158238773,-2.4447200930128816,0.05991640355514437,"0.08 	 (0.07, 0.09)",0.06858880734323897,0.08675041355057911,G1
bmi,Conditional,1.0236620043737989e-7,1.9606542101679745e-6,0.04743794931879855,44752,2.0732570306490923e-6,0.054312040821038174,67.628206045413,3051.05660688927,2845.880835050925,0.04461471461674741,0.05026118402084969,0.0014398809084952451,"1.05 	 (1.05, 1.05)",1.0456249182925612,1.0515457074484296,G1
education_2,Conditional,6.994940479553749e-7,3.0879395060307767e-4,0.01708653427361641,44752,3.095633940558286e-4,0.002485576355362437,15226.659815021521,1456760.9511418305,43311.595815446904,-0.01739791159316,0.05157098014039281,0.01759441371730893,"1.02 	 (0.98, 1.05)",0.9827525581870861,1.0529239203274736,G1
education_3,Conditional,1.127294290214738e-5,9.21143102221079e-4,0.034680847967576645,44752,9.33543339413441e-4,0.013282979663433055,639.3460892603247,51009.55020240339,23667.87557217477,-0.025205197888710687,0.09456689382386398,0.030553941471002412,"1.04 	 (0.98, 1.10)",0.9751098010254257,1.0991826892069487,G1
ge65,Conditional,9.470005889950078e-6,4.150070459558104e-4,0.03683054617170149,44752,4.2542405243475547e-4,0.024486171901488045,223.556712936016,15010.692256463699,11169.88211272408,-0.003598559194609448,0.07725965153801242,0.02062581034613563,"1.04 	 (1.00, 1.08)",0.996407907859844,1.080322547389641,G1
heavydrinker,Conditional,5.318227300761931e-6,9.31240672191291e-4,0.183408638949172,44752,9.370907222221291e-4,0.0062427787322084085,2576.1231646055066,230933.33377668704,37289.77542820363,0.12341002933725265,0.24340724856109136,0.030611937577065082,"1.20 	 (1.13, 1.28)",1.1313482118145528,1.2755879997312318,G1
hh_high,Conditional,2.3289510914933973e-6,5.475917775043474e-4,-0.008393215445350818,44752,5.501536237049902e-4,0.0046566015204809064,4505.720853302001,415053.7654179242,40224.87309844045,-0.05436499827534787,0.037578567384646225,0.02345535383883582,"0.99 	 (0.95, 1.04)",0.9470863585194631,1.0382935698875833,G1
hh_highest,Conditional,2.567048062103737e-6,5.316476790727519e-4,-0.006519410872834675,44752,5.34471431941066e-4,0.005283262489931313,3538.2386836480646,322431.99664326414,39113.70440085205,-0.051831279198934314,0.038792457453264956,0.023118638193913285,"0.99 	 (0.95, 1.04)",0.9494890518826722,1.0395547094279014,G1
hh_lengthmar,Conditional,1.4814326206465513e-8,7.211341495240229e-7,0.014644103846615637,44752,7.37429908351135e-7,0.0220980443599701,264.9036828106766,18430.402818193576,12968.568587180345,0.01296089894658593,0.016327308746645345,8.587373919605079e-4,"1.01 	 (1.01, 1.02)",1.0130452554487364,1.0164613276479335,G1
hh_low,Conditional,1.342766568545354e-6,5.422221712966995e-4,0.02100682000406988,44752,5.436992145220993e-4,0.0027166550657943857,12798.378667341989,1219476.7102489108,43052.85142414541,-0.02469440852887557,0.06670804853701531,0.023317358652345237,"1.02 	 (0.98, 1.07)",0.9756080039640084,1.068983341362001,G1
hh_medium,Conditional,2.8251227221543844e-6,5.392224606640795e-4,-0.0037725373545453252,44752,5.423300956584493e-4,0.005730154050545189,3031.0104558790918,274100.5543555596,38279.78177698058,-0.049416344479940706,0.04187126977085006,0.0232879817858579,"1.00 	 (0.95, 1.04)",0.9517847768566355,1.042760235346312,G1
hh_size,Conditional,3.543949052582249e-8,7.609127396567094e-6,-0.012275596319630558,44752,7.648110836145499e-6,0.005097133189305563,3789.2167119392925,346410.09970062465,39451.45672505733,-0.01769593838838491,-0.006855254250876207,0.0027655218017845202,"0.99 	 (0.98, 0.99)",0.9824597152313618,0.9931681894032199,G1
husband,Conditional,1.5373419879705895e-6,3.5309665733056434e-4,0.19030133601209806,44752,3.5478773351733196e-4,0.0047664449106018395,4308.608424669562,396144.2473014967,40035.67256684079,0.15338371424745706,0.22721895777673906,0.018835809871554022,"1.21 	 (1.17, 1.26)",1.1657722165403075,1.2551046527803902,G1
in_casteOBC,Conditional,7.25145733308371e-7,2.7284399320607456e-4,-0.0548660108985716,44752,2.7364165351271376e-4,0.0029149813136988213,11154.868668822113,1059182.8965595243,42815.8762979955,-0.08728800260244501,-0.02244401919469819,0.016542117564348095,"0.95 	 (0.92, 0.98)",0.9164131282574783,0.977805974027071,G1
in_casteScheduled Caste,Conditional,1.4577924158013668e-6,5.117006071625623e-4,-0.07936067518626928,44752,5.133041788199438e-4,0.0031240183180819233,9747.645825505522,922179.2925082246,42551.76878685876,-0.12376610325005019,-0.03495524712248838,0.02265621722220953,"0.92 	 (0.88, 0.97)",0.8835864847222237,0.9656486308454661,G1
in_casteScheduled Tribe,Conditional,3.699750054439161e-6,8.724595765866725e-4,-0.008790086490369813,44752,8.765293016465556e-4,0.00464299944364452,4531.094392166726,417489.2009198966,40248.12430903896,-0.06681741402885116,0.04923724104811153,0.029606237546276556,"0.99 	 (0.94, 1.05)",0.9353659704503742,1.0504695356740645,G1
in_religionMuslim,Conditional,4.639778791596121e-6,4.8105827424284775e-4,0.055796582320065,44752,4.861620309136035e-4,0.010498056915643273,978.2330171920156,81662.87461781081,28711.77372455785,0.012580534565748334,0.09901263007438166,0.02204908231454551,"1.06 	 (1.01, 1.10)",1.0126600023903023,1.1040802440864277,G1
in_religionOther,Conditional,2.0283846990545536e-6,4.7781224793243927e-4,0.13270577249938206,44752,4.8004347110139925e-4,0.004647960660397586,4521.814191026584,416598.42359010957,40239.648271527745,0.08976304387449258,0.17564850112427155,0.021909894365363773,"1.14 	 (1.09, 1.19)",1.0939150431218487,1.1920189916687791,G1
laborforceFormal,Conditional,1.5261126113531738e-6,3.157387854354816e-4,-0.09337039120731543,44752,3.174175093079701e-4,0.00528869335579006,3531.305217510109,321770.13719122316,39103.75950984417,-0.1282896618807812,-0.058451120533849654,0.01781621478619884,"0.91 	 (0.88, 0.94)",0.8795985560680767,0.9432243435752821,G1
laborforceRetired,Conditional,8.963458187832441e-6,6.795979136808296e-4,0.037328747239828944,44752,6.894577176874453e-4,0.01430081026533011,560.6397440819147,44006.9449473195,22029.21580091137,-0.014136475257967705,0.08879396973762557,0.026257526876829914,"1.04 	 (0.99, 1.09)",0.9859629755289875,1.0928554718301178,G1
moderate_pa,Conditional,7.75238866963144e-8,2.1201360094707913e-5,0.002174470291579539,44752,2.128663637007386e-5,0.004006094428607461,6019.572391211336,560789.85133797,41289.12994112582,-0.00686832186721904,0.011217262450378117,0.0046137442896278785,"1.00 	 (0.99, 1.01)",0.9931552111471545,1.0112804118390228,G1
partner_htn,Conditional,3.7234893816902567e-7,2.0184489352452205e-4,0.18470046158308404,44752,2.0225447735650796e-4,0.002025091544766977,22753.143362189167,2194588.952638814,43768.694483910804,0.15682658307506708,0.21257434009110096,0.014221620067928547,"1.20 	 (1.17, 1.24)",1.1697927344512395,1.236858058288385,G1
residence,Conditional,1.1644012866269715e-6,2.4293821797728425e-4,-0.12228681538347584,44752,2.442190593925739e-4,0.005244641505357529,3588.158611514604,327198.19129013375,39184.28220860409,-0.15291628486546663,-0.09165734590148504,0.015627509699007513,"0.88 	 (0.86, 0.91)",0.8582015632635688,0.912417739664943,G1
smokeCurrent,Conditional,1.2280032982640128e-6,5.264378244266869e-4,-0.0749790359117116,44752,5.277886280547773e-4,0.002559364784097279,14379.987380444842,1373972.7820940877,43231.0462657252,-0.12000660360988576,-0.02995146821353744,0.022973650734151446,"0.93 	 (0.89, 0.97)",0.8869145798599319,0.9704926321467963,G1
