term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_htn at countryELSA=0,9.785707589557654e-7,0.0018895364012630961,0.1310395524081482,33829,0.0018906128290979475,5.693539249730623e-4,280489.9582901758,27763733.79447731,33766.623217095505,0.04581800605926939,0.21626109875702704,0.04348117787155665,"1.14 	(1.05, 1.24)",1.0468838670980887,1.241426471597418,WP2 ELSA
h_htn at countryELSA=1,2.4960043183379243e-6,0.003243699758570922,0.1048423163742209,33829,0.0032464453633210934,8.457264616839201e-4,127752.36088837213,12582955.792597238,33707.850966760794,-0.00683171183305499,0.21651634458149677,0.05697758649961486,"1.11 	(0.99, 1.24)",0.9931915712589333,1.2417433809638552,WP2 ELSA
Interaction of h_htn:countryELSA,4.595775666175091e-6,0.005101408499626311,-0.026197236033927325,33829,0.005106463852859103,9.899909954247722e-4,93472.70353471846,9182903.5014624,33669.60603642664,-0.1662553517617178,0.11386087969386313,0.07145952597701095,"0.97 	(0.85, 1.12)",0.8468299670545151,1.1205962163507086,WP2 ELSA
w_htn at countryELSA=0,2.0063111780131915e-6,0.0011410053420738517,0.08670681248265472,33860,0.0011432122843696663,0.0019304746161220216,24996.305253446106,2414984.3380130157,33326.3064411207,0.020437609109057245,0.1529760158562522,0.03381142239494911,"1.09 	(1.02, 1.17)",1.0206478871256368,1.1652970299560976,HP2 ELSA
w_htn at countryELSA=1,1.8809523490495035e-6,0.0025176782179612027,0.07082899464746607,33860,0.002519747265545157,8.211329811709539e-4,135459.96462095535,13347979.076761175,33744.6730267108,-0.027555491500402304,0.16921348079533444,0.050197084233500625,"1.07 	(0.97, 1.18)",0.9728206977754777,1.1843729528174938,HP2 ELSA
Interaction of w_htn:countryELSA,3.438821012765883e-6,0.0035594341288185502,-0.015877817835188646,33860,0.003563216831932593,0.0010615977899921503,81392.03980760243,7985874.813797572,33679.41635574759,-0.132873351417686,0.1011177157473087,0.059692686586654754,"0.98 	(0.88, 1.11)",0.8755759755430188,1.1064068756101757,HP2 ELSA
h_htn at countryCHARLS=0,9.785707589557654e-7,0.0018895364012630961,0.1310395524081482,33829,0.0018906128290979475,5.693539249730623e-4,280489.9582901758,27763733.79447731,33766.623217095505,0.04581800605926939,0.21626109875702704,0.04348117787155665,"1.14 	(1.05, 1.24)",1.0468838670980887,1.241426471597418,WP2 CHARLS
h_htn at countryCHARLS=1,2.0671201620471623e-5,0.0015117392187033243,0.24759942344930308,33829,0.0015344775404858432,0.014818282563666215,526.4850083252877,40987.059822312294,18380.738586491396,0.17082064747490777,0.3243781994236984,0.03917240789747093,"1.28 	(1.19, 1.38)",1.186277967991854,1.3831703224300207,WP2 CHARLS
Interaction of h_htn:countryCHARLS,1.8215535047656653e-5,0.0032599603203497442,0.11655987104115487,33829,0.0032799974089021667,0.006108873286923981,2684.1613158930354,241168.32977575785,29506.90977715812,0.00430969753754093,0.2288100445447688,0.057271261631835615,"1.12 	(1.00, 1.26)",1.0043189976393825,1.257103222713385,WP2 CHARLS
w_htn at countryCHARLS=0,2.0063111780131915e-6,0.0011410053420738517,0.08670681248265472,33860,0.0011432122843696663,0.0019304746161220216,24996.305253446106,2414984.3380130157,33326.3064411207,0.020437609109057245,0.1529760158562522,0.03381142239494911,"1.09 	(1.02, 1.17)",1.0206478871256368,1.1652970299560976,HP2 CHARLS
w_htn at countryCHARLS=1,1.2531954334523162e-5,0.0013238945901439046,0.24462719192990412,33860,0.00133767973991188,0.010305269158732701,1011.9601532031247,84746.90190020631,24013.93092704791,0.17294184879364496,0.3163125350661633,0.0365743043667529,"1.28 	(1.19, 1.37)",1.1887969730959007,1.3720590051748807,HP2 CHARLS
Interaction of w_htn:countryCHARLS,7.908556968142445e-6,0.002308594799042119,0.1579203794472494,33860,0.0023172942117070756,0.003754125229764465,6824.757712027849,638594.2416292938,32038.596994316147,0.06357090126130854,0.25226985763319026,0.04813828218483784,"1.17 	(1.07, 1.29)",1.0656350379913506,1.2869432818975317,HP2 CHARLS
h_htn at countryLASI=0,9.785707589557654e-7,0.0018895364012630961,0.1310395524081482,33829,0.0018906128290979475,5.693539249730623e-4,280489.9582901758,27763733.79447731,33766.623217095505,0.04581800605926939,0.21626109875702704,0.04348117787155665,"1.14 	(1.05, 1.24)",1.0468838670980887,1.241426471597418,WP2 LASI
h_htn at countryLASI=1,2.415208252295964e-6,4.980740956358456e-4,0.3067288205801383,33829,5.007308247133712e-4,0.005305703077189881,3509.7248064745995,319710.2982127952,30443.531462302835,0.2628705099903808,0.35058713116989576,0.02237701554527259,"1.36 	(1.30, 1.42)",1.3006582857928153,1.419900972023719,WP2 LASI
Interaction of h_htn:countryLASI,3.5695958893272502e-6,0.0023677566728481365,0.17568926817199004,33829,0.0023716832283263963,0.0016555986193108898,33820.4385701205,3283465.053255007,33427.191891526636,0.08023912320501338,0.2711394131389667,0.04869993047558072,"1.19 	(1.08, 1.31)",1.0835461377241262,1.3114578921017777,WP2 LASI
w_htn at countryLASI=0,2.0063111780131915e-6,0.0011410053420738517,0.08670681248265472,33860,0.0011432122843696663,0.0019304746161220216,24996.305253446106,2414984.3380130157,33326.3064411207,0.020437609109057245,0.1529760158562522,0.03381142239494911,"1.09 	(1.02, 1.17)",1.0206478871256368,1.1652970299560976,HP2 LASI
w_htn at countryLASI=1,1.1036159850777775e-6,4.53945565889405e-4,0.2712727195400898,33860,4.551595434729905e-4,0.002667147379405862,13266.368725460023,1265168.8218092981,32889.85678320174,0.22945788977150494,0.31308754930867466,0.021334468436616613,"1.31 	(1.26, 1.37)",1.2579178948979841,1.3676412618333427,HP2 LASI
Interaction of w_htn:countryLASI,1.6401412066091126e-6,0.0015172643852736367,0.18456590705743509,33860,0.0015190685406009066,0.001187672102376858,65175.52210723619,6380421.926500643,33639.49049394799,0.10817584580275265,0.26095596831211754,0.03897522983384327,"1.20 	(1.11, 1.30)",1.1142436632317203,1.2981705035368019,HP2 LASI
