iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,3.255494976564043e-4,0.015766946712172925,-0.529693803844917,33832,0.01612505115959497,0.022207957288182624,262.72103224437404,18248.420606950378,11760.528467055332,-0.7785952661012577,-0.28079234158857636,0.12698445243255163,"0.59 	(0.46, 0.76)",0.45905040226163796,0.7551851397452325,WP1
countryCHARLS,Conditional,1.224129592940968e-4,0.0027543706495908003,-0.3173837265717578,33832,0.002889024904814307,0.04660889388634794,83.47635930784223,4142.904444964712,3671.3252069541454,-0.42276189175808415,-0.21200556138543142,0.05374965027620465,"0.73 	(0.66, 0.81)",0.6552346313049439,0.8089601986145265,WP1
countryELSA,Conditional,3.192851856185562e-5,0.00289758038432445,-0.3106957748087888,33832,0.0029327017547424914,0.011975772974952597,770.0944170386006,62753.131162918435,21808.67565569841,-0.41683854480207083,-0.20455300481550678,0.054154425070740905,"0.73 	(0.66, 0.82)",0.6591273308872585,0.8150115412362177,WP1
countryLASI,Conditional,9.377607870355255e-5,0.004463000654761996,-0.38346754567263636,33832,0.004566154341335904,0.022590932952066725,255.34966289689478,17634.947706980634,11501.079705761967,-0.5159179209365974,-0.2510171704086753,0.06757332566431745,"0.68 	(0.60, 0.78)",0.5969523879564865,0.7780090127115679,WP1
h_htn,Conditional,1.2787464030301063e-6,0.0018131476649759432,0.12720530450039313,33832,0.0018145542860192763,7.751881848731718e-4,151868.27426548966,14977116.91320649,33727.65130004536,0.04371556444633236,0.2106950445544539,0.04259758544823024,"1.14 	(1.04, 1.23)",1.0446851670211597,1.2345358192301905,WP1
hh_high,Conditional,2.0115909015058727e-05,0.003300319190075006,-0.19238794175641172,33832,0.0033224466899915706,0.006660001493243144,2279.588361943868,202905.51732383456,28829.94983999556,-0.3053622503941831,-0.07941363311864036,0.05764066871568693,"0.82 	(0.74, 0.92)",0.736856399517489,0.9236577899665768,WP1
hh_highest,Conditional,1.3811535423680392e-5,0.004044968281371701,-0.24398314732807205,33832,0.004060160970337749,0.003741893259169134,6867.986916528362,642776.0996715481,32024.24802682032,-0.36887109675485413,-0.11909519790128999,0.0637193924197159,"0.78 	(0.69, 0.89)",0.6915145431741171,0.8877232873453824,WP1
hh_lengthmar,Conditional,2.4962434656050957e-7,2.4353284315095794e-6,0.002030428745062557,33832,2.70991521272614e-6,0.10132670569435631,32.04375046215397,876.5862679770155,852.0199213070268,-0.0012004897593090509,0.005261347249434166,0.0016461820108135492,"1.00 	(1.00, 1.01)",0.9988002305402558,1.0052752124427407,WP1
hh_low,Conditional,5.389551231795452e-6,0.0023819281798597336,-0.05624889091722826,33832,0.0023878566862147086,0.0024827731032606554,15260.31030052794,1460052.4106706427,32983.66075503128,-0.15202398339009726,0.03952620155564074,0.04886570050878948,"0.95 	(0.86, 1.04)",0.8589676795371418,1.040317756471441,WP1
hh_medium,Conditional,7.3035017155783575e-6,0.0025440120952573667,-0.09377804784902015,33832,0.0025520459471445028,0.003148004406474465,9603.69990503398,908179.8173021101,32516.08131911826,-0.19279120629631746,0.005235110598277137,0.05051777852543105,"0.91 	(0.82, 1.01)",0.8246541387569268,1.0052488377336686,WP1
